market_rank,symbol,close,return_1d,return_5d,return_20d,rsi,ema20_distance,ema50_distance,volume_ratio,volume_accumulation_ratio,up_down_volume_ratio,atr_pct,range_20_pct,close_position,upper_wick_ratio,momentum_percentile,trend_percentile,volume_percentile,quality_percentile,relative_strength_score,market_percentile,relative_class
19,DEVA,99.9,6.051,-4.9477,17.2535,60.4213,6.873,17.8169,0.6198,1.0839,1.7325,5.3232,32.0846,1.0,0.0,89.63310580204778,98.59949894197952,51.9283276450512,72.26109215017064,81.6551056552901,96.9283276450512,PÄ°YASA LÄ°DERÄ°
20,BAHKM,170.0,5.0031,1.7964,35.4582,54.7511,6.6947,18.9637,1.06,1.4308,1.5532,10.2437,65.4382,0.8482,0.1518,97.07337883959045,94.24271354948804,69.59044368600682,45.56313993174061,81.45574921843003,96.75767918088737,PÄ°YASA LÄ°DERÄ°
21,PGSUS,150.2,3.4435,-2.0222,0.0666,48.4634,-0.9419,-3.8731,1.5628,1.1507,1.2648,3.5524,13.879,0.8026,0.1974,89.03583617747441,80.11450027303754,71.7150170648464,80.0,81.26882107167236,96.58703071672356,PÄ°YASA LÄ°DERÄ°
22,CCOLA,80.4,5.098,1.1321,-1.9512,57.0732,0.5972,-1.4594,1.3146,0.891,0.6949,3.2427,12.1984,0.964,0.036,90.40955631399318,90.8616137883959,43.489761092150175,90.46928327645053,81.17196536518772,96.41638225255973,PÄ°YASA LÄ°DERÄ°
23,ZOREN,2.45,-3.9216,-2.7778,7.9295,59.0909,1.559,-0.6894,1.1186,1.895,2.4309,6.0641,18.6667,0.1538,0.0769,83.24658703071673,94.09904549488054,80.66552901023891,55.51194539249147,80.99387747098976,96.24573378839591,PÄ°YASA LÄ°DERÄ°
24,SANKO,20.2,2.3822,2.2267,7.2187,69.0544,2.6744,2.0065,0.8269,1.0042,1.0661,4.3458,16.5856,1.0,0.0,94.35153583617748,88.3868761774744,38.33617747440273,88.02901023890784,80.22101165870308,96.07508532423208,PÄ°YASA LÄ°DERÄ°
25,TUPRS,412.0,2.5513,-1.1398,4.1719,66.5782,4.5667,16.3136,0.9474,0.9593,1.2168,3.7491,15.4161,0.7969,0.2031,91.70648464163823,92.67603638225256,45.034129692832764,77.58532423208192,80.1210703003413,95.90443686006826,PÄ°YASA LÄ°DERÄ°
26,LKMNH,13.1,6.1588,2.9874,-3.9589,44.2177,-1.5445,-5.4053,1.3056,1.7744,1.0824,4.7819,17.9402,1.0,0.0,89.67576791808874,73.5280119112628,67.7815699658703,85.1962457337884,79.64628753242322,95.73378839590444,PÄ°YASA LÄ°DERÄ°
27,BIMAS,418.0,3.0826,-2.7907,0.3601,52.4496,0.96,4.0304,1.4989,0.9629,1.0526,2.9221,12.1795,0.6709,0.3291,87.9778156996587,89.58518607508532,56.058020477815695,74.419795221843,79.63562408191126,95.56313993174061,PÄ°YASA LÄ°DERÄ°
28,KONYA,3977.5,-0.9956,-0.5625,8.3787,57.2008,0.468,2.4085,0.8431,1.6192,1.4998,4.9879,20.5582,0.4194,0.3226,89.1296928327645,92.98327972696245,62.98634812286689,56.04522184300341,79.10189518088737,95.39249146757679,PÄ°YASA LÄ°DERÄ°
29,AKSA,11.12,4.8068,-1.94,-1.7668,52.8053,-0.3851,-2.5212,1.0938,0.9477,1.0983,3.1989,14.4259,0.9254,0.0746,88.43003412969283,85.6408109556314,46.20307167235495,87.98634812286689,79.06801120477814,95.22184300341297,PÄ°YASA LÄ°DERÄ°
30,ALCAR,698.5,1.3788,-1.3418,-0.4986,49.3697,-0.9274,-3.9585,0.9766,1.261,1.459,5.4044,17.3684,0.8889,0.1111,87.4914675767918,80.8346071331058,63.15699658703072,74.47525597269625,78.2845971569966,95.05119453924915,PÄ°YASA LÄ°DERÄ°
31,AVPGY,55.05,1.5683,-0.9892,8.3661,49.6575,0.4448,1.1646,1.0404,1.0409,1.1594,4.3402,19.7252,0.8125,0.1875,91.95392491467577,85.48355887372014,50.20051194539249,72.8882252559727,78.23030656996586,94.88054607508532,PÄ°YASA LÄ°DERÄ°
32,TAVHL,273.75,8.4158,-0.545,-2.6667,44.4444,1.362,0.283,1.4919,0.9126,1.0479,3.7586,20.477,0.92,0.08,89.16382252559728,81.26958457337884,53.32764505119454,80.75938566552901,78.1155170102389,94.7098976109215,PÄ°YASA LÄ°DERÄ°
33,GSDDE,13.48,3.8521,2.4316,0.4471,43.75,0.527,1.2916,1.0436,0.8928,1.6021,5.8181,21.5139,0.9789,0.0211,92.2952218430034,80.35196245733789,53.8353242320819,75.02559726962457,77.91173208191125,94.53924914675767,PÄ°YASA LÄ°DERÄ°
34,SAHOL,90.6,7.4733,-4.4304,0.2767,43.8356,-1.4835,-1.283,1.3616,1.0203,1.2009,3.8158,19.5626,0.9041,0.0959,87.02218430034131,77.57405365187714,60.04266211604096,80.34129692832764,77.58928094197952,94.36860068259386,PÄ°YASA LÄ°DERÄ°
35,EPLAS,5.93,2.9514,5.8929,3.3101,46.7836,0.793,2.1568,1.5084,1.448,0.9744,7.1308,38.6194,0.7391,0.2609,94.16382252559727,83.81684409556314,67.14590443686006,48.6518771331058,77.46399520819112,94.19795221843003,PÄ°YASA LÄ°DERÄ°
36,EGEEN,5815.0,-4.201,6.1131,10.237,60.2222,3.9451,5.859,1.1799,2.1001,1.0919,6.455,43.3108,0.0588,0.1765,87.94368600682594,97.61998587030718,65.79351535836177,35.45221843003413,76.96807767235497,94.02730375426621,PÄ°YASA LÄ°DERÄ°
37,ENJSA,111.5,3.9143,-4.7009,0.4505,46.7018,-1.0633,0.3316,1.3046,0.9456,1.0455,4.0615,16.5692,0.9155,0.0845,85.60580204778158,81.51540839590443,50.85324232081911,82.48293515358363,76.86605596587032,93.85665529010238,PÄ°YASA LÄ°DERÄ°
38,FROTO,77.45,3.7508,-5.4335,-2.3945,48.0545,-2.158,-4.0726,1.8468,1.1388,1.0794,3.749,17.7654,0.8049,0.1951,81.09215017064845,77.71577354948805,68.33617747440273,76.68941979522185,76.7355511774744,93.68600682593856,PÄ°YASA LÄ°DERÄ°
39,CELHA,28.0,-1.1997,4.8689,7.362,65.2913,5.5427,14.4856,1.4809,0.9631,1.3897,6.148,31.9149,0.3644,0.6356,90.73378839590443,93.91189143344708,65.41808873720136,34.89761092150171,76.57356743003412,93.51535836177474,PÄ°YASA LÄ°DERÄ°
40,AYGAZ,320.0,1.7488,-2.6616,-1.9908,50.2778,-0.3416,6.6084,0.7841,1.0674,1.2857,4.1127,14.168,0.7667,0.2333,84.96587030716725,87.19455924914678,46.43344709897611,75.6740614334471,76.25546675085326,93.34470989761093,PÄ°YASA LÄ°DERÄ°
41,HRKET,89.5,7.8313,9.1463,-10.9453,39.7351,0.8097,-3.7502,1.9355,1.1401,1.7227,6.7917,36.4474,0.934,0.066,81.79180887372014,73.66858658703072,83.8481228668942,61.78327645051195,76.16456915017065,93.1740614334471,PÄ°YASA LÄ°DERÄ°
42,FMIZP,284.5,2.9864,-1.9811,-5.0083,43.0267,-2.2454,-2.8362,1.2913,0.8723,1.2632,3.6154,16.8831,1.0,0.0,83.94197952218431,74.36140201365187,53.06313993174061,90.94709897610922,76.15295985324232,93.00341296928327,PÄ°YASA LÄ°DERÄ°
43,BRISA,75.0,5.6338,-2.1526,-5.482,43.8976,-2.3534,-5.5729,1.9737,0.8891,1.0483,3.4,21.8638,1.0,0.0,84.4283276450512,71.87217447098976,57.41467576791809,87.65358361774743,75.83929739249146,92.83276450511946,PÄ°YASA LÄ°DERÄ°
44,KNFRT,12.27,1.9103,0.4914,3.6318,41.4097,-0.0816,-0.2161,1.2086,0.7213,1.5396,5.3732,17.7349,0.8646,0.1354,91.74061433447099,77.26019757679181,50.093856655290104,72.89249146757679,75.67447565529011,92.66211604095564,PÄ°YASA LÄ°DERÄ°
45,MPARK,435.0,4.9457,-1.8059,-1.7504,50.4926,1.2444,1.3962,1.5155,0.7416,1.0279,3.3744,12.7396,0.5311,0.4689,88.62627986348124,86.99965399317406,44.684300341296925,66.41638225255973,75.35211462798635,92.4914675767918,PÄ°YASA LÄ°DERÄ°
46,CMBTN,1520.0,-0.2625,-1.5544,-2.5641,44.4444,-2.0882,-3.3263,0.7331,1.0556,2.0228,4.0132,12.6437,0.6721,0.0,83.10153583617748,75.4462057337884,54.54778156996588,83.30204778156997,75.13027810238908,92.32081911262799,PÄ°YASA LÄ°DERÄ°
47,THYAO,289.25,5.9524,-3.3417,-3.9834,38.75,-2.5201,-5.0042,1.4104,1.0864,1.1429,3.2288,21.0068,0.9545,0.0455,84.46245733788396,67.83660409556315,62.261092150170654,84.3174061433447,75.00831911262799,92.15017064846417,PÄ°YASA LÄ°DERÄ°
48,TRCAS,47.14,-0.1271,-4.3037,-0.5485,50.7605,-1.262,1.6966,0.7934,1.2295,1.4548,3.7245,11.3796,0.5474,0.4526,81.45904436860067,85.61619061433447,55.63993174061433,65.89590443686008,74.74100052901024,91.97952218430035,PÄ°YASA LÄ°DERÄ°
49,TTKOM,52.8,5.939,-4.607,-2.403,48.8297,-2.2507,-4.3489,1.197,1.2524,1.0737,4.9905,23.278,0.8515,0.1485,84.09556313993176,78.0132829010239,59.560580204778155,69.06143344709898,74.65773913651879,91.80887372013652,PÄ°YASA LÄ°DERÄ°
50,EUKYO,13.9,-1.7668,1.0909,5.303,60.9375,1.3547,7.1626,0.898,0.8052,0.9718,5.1799,21.0937,0.6,0.12,88.02901023890784,96.40283703071673,28.293515358361773,65.61433447098976,74.55941766211603,91.6382252559727,PÄ°YASA LÄ°DERÄ°
51,TTRAK,419.0,2.3199,-4.7186,-0.8284,42.5325,-1.5878,-2.0521,1.4156,0.7638,1.1037,2.8469,14.8362,0.9444,0.0556,83.33617747440272,75.53522269624574,45.2901023890785,89.80375426621161,74.55083984641638,91.46757679180887,PÄ°YASA LÄ°DERÄ°
52,VAKFA,10.73,3.7718,-4.7915,-2.2769,36.3296,-2.976,-5.0111,1.3615,0.9228,1.6504,3.375,19.3,0.9434,0.0566,82.70477815699658,64.7503942662116,66.00682593856655,84.910409556314,74.37588619795221,91.29692832764505,PÄ°YASA LÄ°DERÄ°
53,TRENJ,103.8,4.7956,-3.7106,7.1207,42.2185,-0.5569,3.0065,0.8215,0.6978,1.4657,4.3765,17.5247,0.9259,0.0741,90.5716723549488,79.04528481228668,34.57337883959045,81.23293515358361,74.23312469283276,91.12627986348123,PÄ°YASA LÄ°DERÄ°
54,AEFES,19.08,5.1819,-2.5536,-1.7002,55.1789,-0.1583,-2.6885,0.8995,0.7922,0.8807,3.2607,12.9598,0.7838,0.2162,87.96928327645051,87.69343320819112,26.151877133105803,80.36689419795222,74.15461699317406,90.95563139931741,PÄ°YASA LÄ°DERÄ°
55,TCELL,99.15,3.5509,-2.4114,-4.6635,44.065,-1.5126,-3.7972,1.135,0.981,1.1096,3.9298,14.7967,0.8556,0.1444,84.30034129692834,75.55269795221841,49.522184300341294,80.69965870307168,74.07229402730374,90.78498293515358,PÄ°YASA LÄ°DERÄ°
56,ENKAI,85.75,4.637,-4.4568,3.1889,46.6667,-1.4562,-2.6806,1.0692,0.8203,1.1541,3.6526,15.6467,0.8036,0.1964,87.7047781569966,79.16641225255972,40.53754266211604,78.42150170648463,74.03883152559727,90.61433447098976,PÄ°YASA LÄ°DERÄ°
57,DURDO,4.98,-0.4,-4.2308,-2.7344,56.1984,-1.7532,-1.2982,1.4777,0.9377,1.2967,3.6575,10.395,0.2917,0.7083,78.839590443686,88.12122211604095,61.9283276450512,55.42662116040955,74.02749291467576,90.44368600682594,PÄ°YASA LÄ°DERÄ°
