prescan_rank,symbol,prescan_score,prescan_class,close,return_1d,return_5d,return_20d,ema20_distance,volume_ratio,market_percentile,timing_confidence,timing_available,timing_source,risk_score,risk_class,risk_available,risk_source,regime,regime_confidence,v22_signal_state,v22_signal_score,v27_decision,v27_master_score,v32_decision,v32_score,v32_confidence,supporting_factors,risk_notes,rsi_usage
14,ENKAI,92.53,UST ADAY,87.75,4.5265,5.5957,0.2284,2.7786,2.0685,88.125,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
15,BFREN,92.5,UST ADAY,131.4,1.8605,1.4672,4.9521,1.3707,1.6646,70.0,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
16,VAKBN,92.39,UST ADAY,32.1,1.9048,3.5484,10.3093,4.002,2.4032,79.16666666666666,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
17,GARFA,92.34,UST ADAY,27.1,2.187,0.8935,2.4188,1.215,1.5594,69.375,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
18,TNZTP,92.32,UST ADAY,29.88,3.678,7.4047,9.6111,5.8688,1.6792,96.875,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
19,SARKY,92.15,UST ADAY,26.68,4.3002,0.8314,14.901,4.0232,1.8816,85.41666666666666,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
20,NUGYO,92.14,UST ADAY,9.24,-0.5382,1.8743,2.2124,0.6414,1.7217,68.54166666666667,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
21,AVPGY,92.06,UST ADAY,54.65,3.5038,6.5302,7.1569,4.5669,1.581,95.83333333333334,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
22,ISCTR,91.9,UST ADAY,12.91,3.4455,3.0327,4.9593,2.361,1.8472,74.79166666666667,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
23,YIGIT,91.75,UST ADAY,22.4,3.7037,6.6667,7.796,4.6937,2.2568,94.58333333333331,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
24,ISBIR,91.75,UST ADAY,74.25,4.5775,0.2024,10.9037,2.3993,1.9305,85.0,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
25,OYYAT,91.74,UST ADAY,37.02,3.2924,2.8333,11.3049,3.0027,1.2568,74.16666666666667,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
26,OYAKC,91.7,UST ADAY,23.12,1.1374,5.6673,10.622,6.5653,1.1214,89.375,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
27,AHGAZ,91.69,UST ADAY,36.16,2.7857,8.3933,7.2361,6.9246,1.8738,94.375,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
28,AKCNS,91.66,UST ADAY,245.8,2.4594,0.0407,3.3642,2.1167,1.0957,79.58333333333333,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
29,SMRVA,91.49,UST ADAY,12.0,5.1709,4.0763,4.6207,1.5153,2.3259,83.95833333333333,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
30,ISSEN,91.04,UST ADAY,6.99,1.5988,1.5988,-0.7102,0.6103,1.435,64.16666666666667,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
