pattern_id,source_decision,feature,direction,threshold_low,threshold_high,sample_count,success_count,success_rate,average_return_5d,average_return_10d,average_return_15d,average_max_return_15d,recommended_bonus,confidence_class,active,version
V30-0039,PASİF İZLEME,v22_signal_score,LOW,,57.35,5,1,20.0,1.42,0.56,3.26,7.22,1.18,DÜŞÜK,False,V30.0
V30-0040,PASİF İZLEME,v22_signal_score,HIGH,57.35,,5,0,0.0,-3.04,-2.94,-7.5,1.92,0.25,DÜŞÜK,False,V30.0
V30-0041,PASİF İZLEME,v24_score,LOW,,50.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0042,PASİF İZLEME,optimized_weight_pct,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0043,PASİF İZLEME,optimizer_score,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0044,PASİF İZLEME,top_pick_score,LOW,,59.86,5,1,20.0,1.42,0.56,3.26,7.22,1.18,DÜŞÜK,False,V30.0
V30-0045,PASİF İZLEME,top_pick_score,HIGH,59.86,,5,0,0.0,-3.04,-2.94,-7.5,1.92,0.25,DÜŞÜK,False,V30.0
V30-0046,PASİF İZLEME,ai_final_score,LOW,,64.09,5,1,20.0,0.32,-2.66,-0.44,5.79,0.49,DÜŞÜK,False,V30.0
V30-0047,PASİF İZLEME,ai_final_score,HIGH,64.09,,5,0,0.0,-1.94,0.28,-1.96,3.35,0.25,DÜŞÜK,False,V30.0
V30-0048,PASİF İZLEME,consensus_score,LOW,,54.455,5,0,0.0,-3.72,-3.01,-3.06,2.37,0.25,DÜŞÜK,False,V30.0
V30-0049,PASİF İZLEME,consensus_score,HIGH,54.455,,5,1,20.0,2.1,0.63,1.98,6.78,1.02,DÜŞÜK,False,V30.0
V30-0050,PASİF İZLEME,quality_score,LOW,,50.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0051,PASİF İZLEME,risk_score,LOW,,29.5,5,0,0.0,-3.72,-3.01,-3.06,2.37,0.25,DÜŞÜK,False,V30.0
V30-0052,PASİF İZLEME,risk_score,HIGH,29.5,,5,1,20.0,2.1,0.63,1.98,6.78,1.02,DÜŞÜK,False,V30.0
V30-0053,PASİF İZLEME,market_percentile,LOW,,94.21,5,1,20.0,2.24,1.0,1.0,6.12,0.77,DÜŞÜK,False,V30.0
V30-0054,PASİF İZLEME,market_percentile,HIGH,94.21,,5,0,0.0,-3.86,-2.5,-1.56,3.02,0.25,DÜŞÜK,False,V30.0
V30-0055,PASİF İZLEME,timing_confidence,LOW,,90.885,5,1,20.0,1.46,0.83,2.96,6.01,0.89,DÜŞÜK,False,V30.0
V30-0056,PASİF İZLEME,timing_confidence,HIGH,90.885,,5,0,0.0,-3.08,-2.4,-2.04,3.14,0.25,DÜŞÜK,False,V30.0
V30-0057,PASİF İZLEME,expected_return,LOW,,0.8,5,1,20.0,1.42,0.56,3.26,7.22,1.18,DÜŞÜK,False,V30.0
V30-0058,PASİF İZLEME,expected_return,HIGH,0.8,,5,0,0.0,-3.04,-2.94,-7.5,1.92,0.25,DÜŞÜK,False,V30.0
V30-0059,PASİF İZLEME,downside_20pct,LOW,,-2.6,5,0,0.0,0.2,0.99,2.96,4.51,0.65,DÜŞÜK,False,V30.0
V30-0060,PASİF İZLEME,downside_20pct,HIGH,-2.6,,5,1,20.0,-1.82,-3.37,-2.04,4.63,0.25,DÜŞÜK,False,V30.0
V30-0061,PASİF İZLEME,upside_80pct,LOW,,4.04,5,1,20.0,1.42,0.56,3.26,7.22,1.18,DÜŞÜK,False,V30.0
V30-0062,PASİF İZLEME,upside_80pct,HIGH,4.04,,5,0,0.0,-3.04,-2.94,-7.5,1.92,0.25,DÜŞÜK,False,V30.0
V30-0063,PASİF İZLEME,rsi,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0064,PASİF İZLEME,volume_ratio,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0065,PASİF İZLEME,ema20_distance,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0066,PASİF İZLEME,smart_money_score,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0067,PASİF İZLEME,institutional_score,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0068,PASİF İZLEME,historical_support_score,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0069,PASİF İZLEME,prediction_score,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0070,PASİF İZLEME,live_confirmation_score,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0071,PASİF İZLEME,relationship_score,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0072,PASİF İZLEME,v8_score,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0073,TEYİT BEKLE,v27_master_score,LOW,,47.73,8,5,62.5,-1.47,-2.76,-6.18,5.67,2.07,DÜŞÜK,False,V30.0
V30-0074,TEYİT BEKLE,v27_master_score,HIGH,47.73,,7,0,0.0,-7.6,-6.93,-6.25,0.22,0.35,DÜŞÜK,False,V30.0
V30-0075,TEYİT BEKLE,v22_signal_score,LOW,,66.66,8,5,62.5,-1.47,-2.76,-6.18,5.67,2.07,DÜŞÜK,False,V30.0
V30-0076,TEYİT BEKLE,v22_signal_score,HIGH,66.66,,7,0,0.0,-7.6,-6.93,-6.25,0.22,0.35,DÜŞÜK,False,V30.0
V30-0077,TEYİT BEKLE,v24_score,LOW,,50.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0078,TEYİT BEKLE,optimized_weight_pct,LOW,,0.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0079,TEYİT BEKLE,optimizer_score,LOW,,0.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0080,TEYİT BEKLE,top_pick_score,LOW,,67.69,8,5,62.5,-1.47,-2.76,-6.18,5.67,2.07,DÜŞÜK,False,V30.0
V30-0081,TEYİT BEKLE,top_pick_score,HIGH,67.69,,7,0,0.0,-7.6,-6.93,-6.25,0.22,0.35,DÜŞÜK,False,V30.0
V30-0082,TEYİT BEKLE,ai_final_score,LOW,,69.48,8,5,62.5,-1.68,-1.36,-3.71,5.59,2.07,DÜŞÜK,False,V30.0
V30-0083,TEYİT BEKLE,ai_final_score,HIGH,69.48,,7,0,0.0,-7.36,-7.73,-7.31,0.32,0.35,DÜŞÜK,False,V30.0
V30-0084,TEYİT BEKLE,consensus_score,LOW,,70.26,8,2,25.0,-5.9,-6.58,-7.68,1.62,0.4,DÜŞÜK,False,V30.0
V30-0085,TEYİT BEKLE,consensus_score,HIGH,70.26,,7,3,42.86,-2.54,-4.01,-4.05,4.84,0.35,DÜŞÜK,False,V30.0
V30-0086,TEYİT BEKLE,quality_score,LOW,,50.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0087,TEYİT BEKLE,risk_score,LOW,,25.0,9,1,11.11,-5.69,-6.58,-6.35,1.23,0.45,DÜŞÜK,False,V30.0
V30-0088,TEYİT BEKLE,risk_score,HIGH,25.0,,6,4,66.67,-2.3,-3.38,-5.96,5.98,2.52,DÜŞÜK,False,V30.0
V30-0089,TEYİT BEKLE,market_percentile,LOW,,90.85,8,5,62.5,-1.63,-3.18,-4.86,5.16,2.07,DÜŞÜK,False,V30.0
V30-0090,TEYİT BEKLE,market_percentile,HIGH,90.85,,7,0,0.0,-7.42,-7.28,-7.15,0.81,0.35,DÜŞÜK,False,V30.0
V30-0091,TEYİT BEKLE,timing_confidence,LOW,,100.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0092,TEYİT BEKLE,expected_return,LOW,,3.34,8,5,62.5,-1.77,-1.3,-4.97,5.48,2.07,DÜŞÜK,False,V30.0
V30-0093,TEYİT BEKLE,expected_return,HIGH,3.34,,7,0,0.0,-7.26,-7.77,-6.77,0.44,0.35,DÜŞÜK,False,V30.0
V30-0094,TEYİT BEKLE,downside_20pct,LOW,,-0.03,8,4,50.0,-1.88,-0.81,-2.71,5.17,0.4,DÜŞÜK,False,V30.0
V30-0095,TEYİT BEKLE,downside_20pct,HIGH,-0.03,,7,1,14.29,-7.13,-9.25,-8.58,0.79,0.35,DÜŞÜK,False,V30.0
V30-0096,TEYİT BEKLE,upside_80pct,LOW,,6.51,9,5,55.56,-2.53,-2.29,-4.51,4.85,1.19,DÜŞÜK,False,V30.0
V30-0097,TEYİT BEKLE,upside_80pct,HIGH,6.51,,6,0,0.0,-7.04,-8.03,-7.38,0.55,0.3,DÜŞÜK,False,V30.0
V30-0098,TEYİT BEKLE,rsi,LOW,,0.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0099,TEYİT BEKLE,volume_ratio,LOW,,0.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0100,TEYİT BEKLE,ema20_distance,LOW,,0.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0101,TEYİT BEKLE,smart_money_score,LOW,,0.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0102,TEYİT BEKLE,institutional_score,LOW,,0.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0103,TEYİT BEKLE,historical_support_score,LOW,,0.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0104,TEYİT BEKLE,prediction_score,LOW,,0.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0105,TEYİT BEKLE,live_confirmation_score,LOW,,0.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0106,TEYİT BEKLE,relationship_score,LOW,,0.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
V30-0107,TEYİT BEKLE,v8_score,LOW,,0.0,15,5,33.33,-4.33,-5.42,-6.23,3.13,0.75,DÜŞÜK,False,V30.0
