similarity_rank,target_date,similar_date,similarity_distance,similarity_score,breadth_1d,breadth_5d,breadth_20d,above_ema20,median_return_1d,median_return_5d,median_return_20d,median_volume_ratio,median_volatility_20d,dispersion_1d,market_next_1d_return,market_next_3d_return,market_next_5d_return
1,2026-09-23,2026-03-03,1.1357572283986053,32.11788235038158,35.57858376511226,11.937716262975778,22.64808362369338,15.544041450777202,-0.826452034781,-7.7568637040624004,-8.195171160246694,0.7447405984754549,2.8560875608095877,3.6091987809391863,0.6375199715725088,0.757575004991895,3.4324996538292796
2,2026-09-23,2025-06-19,1.140297185945851,31.97239902195312,26.820603907637658,15.630550621669629,24.68916518650089,23.44582593250444,-1.0452961672473893,-5.092026412121353,-8.327598488534482,0.8163292365277103,2.591158978542936,4.952701643270466,0.6737217758534975,2.9868579344703328,2.3465724789903275
3,2026-09-23,2025-06-23,1.1422158578352302,31.911113291119108,25.044404973357015,21.847246891651864,22.912966252220247,23.978685612788635,-1.6846361878854688,-3.7594037527979407,-8.184147433167954,0.799243576924749,2.604637074020892,4.6960284332794675,3.604304008451309,3.0769200673000707,6.153849680748347
4,2026-09-23,2026-08-03,1.1774369006396792,30.806733473287835,34.470989761092156,19.283276450511945,19.453924914675767,19.112627986348123,-0.6843350744592525,-4.320663174431743,-8.974691253550283,0.7460761243175265,2.4921934000444224,4.005825205926199,1.3142331929727025,0.9475180352990109,1.1060303497257506
5,2026-09-23,2026-07-27,1.364557614080297,25.54936777966606,23.208191126279864,24.914675767918087,26.27986348122867,24.40273037542662,-1.479658406347567,-2.7773483521284446,-5.270697735792123,0.8160139861375335,2.542459581968572,4.103105206572447,-1.321404161142553,-4.591914825746279,-4.320663174431743
6,2026-09-23,2026-03-30,1.5063527166404171,22.171717038088065,41.680960548885075,23.32761578044597,32.81519861830743,29.674099485420243,-0.5104835480624237,-3.626943005181349,-4.794524015282309,0.8504861010218945,3.0117172223896884,3.435342967197215,0.6929967129629455,2.491879819258558,3.928102047369908
7,2026-09-23,2026-03-04,1.513309883676856,22.018000036616463,61.6580310880829,20.761245674740483,24.56445993031359,20.207253886010363,0.6375199715725088,-5.312673152303993,-7.7993673263462515,0.73336080543585,2.864344720312453,3.3245594556942977,1.6359903045058743,-1.012425218591806,1.9021720644826434
8,2026-09-23,2026-06-10,1.5211248759491762,21.84660015320085,26.96245733788396,24.914675767918087,25.982905982905987,28.498293515358363,-1.021799743916324,-3.716658225731001,-6.729261929939856,0.9034755228484747,3.2690355974785392,3.343647437119107,-0.8182374938072667,2.1820821055251183,0.8876798451867063
9,2026-09-23,2025-09-29,1.546023859296874,21.309358164840436,22.123893805309734,16.283185840707965,34.81349911190053,29.20353982300885,-1.7543843505051004,-5.34903529999553,-4.543718976708666,0.7070354581851371,3.0583468725959957,3.3522736125868637,-0.6426759561243611,-0.5924080514975172,-2.387157649974392
10,2026-09-23,2026-03-09,1.5499211810447795,21.226470364959265,33.793103448275865,44.90500863557859,21.70138888888889,21.858864027538726,-0.9433880846022369,-0.7385552566577802,-9.072093098814603,0.7422693917252843,2.8968939163480276,3.4373643392058146,3.435120477827258,3.2142820812407047,1.838242340803009
11,2026-09-23,2026-03-02,1.5770218506732825,20.65894371474102,11.226252158894647,12.975778546712801,25.78397212543554,17.443868739205527,-4.225348210765056,-8.441811462910604,-6.789161345528067,0.9095884059575445,2.8232983129809313,3.801956952886403,-0.826452034781,1.902176025684521,-0.7385552566577802
12,2026-09-23,2026-07-13,1.581434221694521,20.5679895993817,25.938566552901023,23.378839590443686,22.525597269624573,23.549488054607508,-1.2063427113775005,-3.3166815811139614,-7.8114502783858955,0.6479826730136984,2.5509437583888444,3.4267298043126573,0.30574620145797926,0.5761100015960974,0.47867004914302624
