rank,symbol,used_feature_count,used_features,historical_sample_count,dna_ready,dna_classification,neighbor_count,average_similarity_pct,best_similarity_pct,positive_rate_5d,hit_3pct_5d_rate,average_result_5d,median_result_5d,average_max_result_5d,average_min_result_5d,dna_confidence,top_examples,dna_message,close,v8_score
1,ENJSA,17,smart_money_score | institutional_score | historical_support_score | rsi | atr_pct | ema20_distance | volume_ratio | volume_accumulation_ratio | up_down_volume_ratio | range_20_pct | close_position | upper_wick_ratio | distance_to_high_20 | return_1d | return_5d | return_10d | return_20d,251,True,ZAYIF DNA,25,66.3,76.4,36.0,48.0,-2.25,-4.69,6.1,-6.1,75.73,"SMRTG (2026-07-24) benzerlik %76.4, 5g %-10.7 | POLHO (2026-07-22) benzerlik %69.5, 5g %-5.8 | ODAS (2026-07-24) benzerlik %68.2, 5g %-8.0 | ATAKP (2026-07-20) benzerlik %68.1, 5g %-6.1 | CIMSA (2026-07-20) benzerlik %67.8, 5g %-4.3",Market DNA analizi tamamlandi.,110.2,70.11
2,GMTAS,17,smart_money_score | institutional_score | historical_support_score | rsi | atr_pct | ema20_distance | volume_ratio | volume_accumulation_ratio | up_down_volume_ratio | range_20_pct | close_position | upper_wick_ratio | distance_to_high_20 | return_1d | return_5d | return_10d | return_20d,251,True,ZAYIF DNA,25,61.96,71.11,32.0,36.0,-1.39,-1.46,4.05,-5.14,72.98,"ESCAR (2026-07-13) benzerlik %71.1, 5g %-1.1 | ESCAR (2026-07-15) benzerlik %71.1, 5g %-1.0 | AKMGY (2026-07-20) benzerlik %70.7, 5g %-4.9 | ALKA (2026-07-24) benzerlik %69.6, 5g %-10.8 | ESCAR (2026-07-17) benzerlik %67.6, 5g %-2.5",Market DNA analizi tamamlandi.,45.88,68.6
3,ARDYZ,17,smart_money_score | institutional_score | historical_support_score | rsi | atr_pct | ema20_distance | volume_ratio | volume_accumulation_ratio | up_down_volume_ratio | range_20_pct | close_position | upper_wick_ratio | distance_to_high_20 | return_1d | return_5d | return_10d | return_20d,251,True,ZAYIF DNA,25,55.16,68.74,44.0,56.0,0.71,-0.59,6.11,-5.02,68.05,"SUNTK (2026-07-22) benzerlik %68.7, 5g %13.0 | ALKLC (2026-07-13) benzerlik %63.3, 5g %4.9 | ALKLC (2026-07-15) benzerlik %63.3, 5g %5.0 | OZRDN (2026-07-16) benzerlik %61.2, 5g %-9.2 | EKSUN (2026-07-22) benzerlik %56.9, 5g %-15.4",Market DNA analizi tamamlandi.,75.45,68.78
