v24_rank,symbol,v24_state,v24_score,reference_price,live_price,price_change_from_reference_pct,v22_state,v22_score,risk_class,risk_score,rsi_5m,volume_ratio_5m,ema20_distance_5m,ema20_slope_5m,breakout_pct,return_15m,return_60m,close_position,upper_wick_ratio,v24_reasons,v24_risks,checked_at_utc
1,KRDMA,TEYÄ°T BEKLE,41.84,41.02,41.0,-0.05,TEYÄ°T BEKLE,56.7,ORTA,27.0,44.39,2.7,-0.12,-0.009,-0.34,-0.1,-0.19,0.0,0.0,5 dakikalÄ±k hacim gÃ¼Ã§lÃ¼,Fiyat EMA20 altÄ±nda,2026-07-16T22:02:36+00:00
2,CATES,TEYÄ°T BEKLE,30.11,45.8,45.70000076293945,-0.22,TEYÄ°T BEKLE,71.74,ORTA,27.0,40.16,1.06,-0.47,-0.111,-1.72,-0.26,-1.25,0.13,0.38,5 dakikalÄ±k hacim normal Ã¼stÃ¼,Fiyat EMA20 altÄ±nda,2026-07-16T22:02:36+00:00
