signal_date,recorded_at,symbol,signal_price,rank,smart_money_score,selection_score,classification,rsi,atr_pct,volume_ratio,volume_accumulation_ratio,up_down_volume_ratio,range_20_pct,close_position,upper_wick_ratio,distance_to_high_20,ema20_distance,return_1d,return_5d_at_signal,return_10d_at_signal,return_20d_at_signal,trend_score,volume_score,compression_score,candle_score,momentum_score,liquidity_score,risk_penalty,positive_reasons,risk_reasons,result_1d,result_3d,result_5d,result_10d,max_result_5d,min_result_5d,max_result_10d,min_result_10d,hit_3pct_5d,hit_5pct_10d,status
2026-07-28,2026-07-28 12:22:00,ANHYT,106.7,1,79,56.05,GÜÇLÜ ADAY,62.58,2.58,1.42,1.51,5.37,12.1,0.63,0.37,0.47,3.54,0.66,4.3,9.49,4.3,14,26,10,6,20,3,0,EMA20 üzerinde | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.42x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.1 | RSI sağlıklı bölgede 62.6 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,2.44,9.0,,,9.0,2.44,9.0,2.44,1.0,1.0,3g_güncellendi
2026-07-28,2026-07-28 12:22:00,OYAKC,21.02,2,78,54.7,GÜÇLÜ ADAY,52.37,3.15,0.59,1.18,1.6,10.3,0.9,0.1,2.87,1.52,3.34,0.0,5.47,0.86,14,17,15,10,17,5,0,EMA20 üzerinde | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %10.3 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 52.4 | 20 günlük dirence yakın,Belirgin risk yok,-0.57,-2.85,,,-0.48,-2.85,-0.48,-2.85,0.0,0.0,3g_güncellendi
2026-07-28,2026-07-28 12:22:00,ENJSA,107.2,3,77,54.15,GÜÇLÜ ADAY,53.55,2.93,0.39,1.89,2.02,12.82,0.78,0.22,4.11,1.64,1.61,0.28,4.59,1.52,14,20,10,8,20,5,0,EMA20 üzerinde | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.8 | Güçlü kapanış | RSI sağlıklı bölgede 53.5 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,0.93,1.4,,,2.15,0.93,2.15,0.93,0.0,0.0,3g_güncellendi
2026-07-27,2026-07-27 13:32:16,ANHYT,106.6,1,80,56.6,GÜÇLÜ ADAY,62.24,2.45,1.45,1.21,3.1,10.86,0.83,0.17,-0.66,3.77,0.66,3.7,8.17,3.9,14,23,15,10,15,3,0,EMA20 üzerinde | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.45x | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %10.9 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 62.2 | Erken momentum,Belirgin risk yok,0.47,2.63,,,9.1,0.47,9.1,0.47,1.0,1.0,3g_güncellendi
2026-07-27,2026-07-27 13:32:16,PRKAB,36.86,2,78,55.9,GÜÇLÜ ADAY,52.18,4.35,1.92,1.39,3.73,13.33,0.59,0.41,3.66,2.34,4.6,6.59,3.31,0.27,10,30,15,0,20,3,0,EMA20 üzerinde | EMA20 eğimi yukarı | Güçlü hacim 1.92x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %13.3 | Volatilite daralıyor | RSI sağlıklı bölgede 52.2 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-4.99,-10.36,,,-4.99,-10.36,-4.99,-10.36,0.0,0.0,3g_güncellendi
2026-07-27,2026-07-27 13:32:16,GMTAS,46.58,3,77,54.3,GÜÇLÜ ADAY,53.66,4.69,0.37,1.24,1.85,16.63,0.79,0.21,6.47,2.03,2.24,6.98,3.37,1.93,20,17,11,8,18,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %16.6 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 53.7 | Erken momentum,Belirgin risk yok,-0.47,0.9,,,0.9,-2.88,0.9,-2.88,0.0,0.0,3g_güncellendi
2026-07-24,2026-07-24 12:09:26,ULUUN,9.93,1,77,54.0,GÜÇLÜ ADAY,61.71,4.85,0.68,1.45,2.12,20.23,0.68,0.32,3.97,6.56,1.53,1.43,14.67,4.64,20,15,11,6,20,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Kontrollü bant %20.2 | Volatilite daralıyor | RSI sağlıklı bölgede 61.7 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-11.88,-16.41,-19.44,,-11.88,-19.44,-11.88,-19.44,0.0,0.0,5g_güncellendi
2026-07-24,2026-07-24 12:09:26,GMTAS,46.74,2,75,53.1,GÜÇLÜ ADAY,54.2,4.61,0.27,1.17,1.95,16.63,0.6,0.4,6.14,2.35,1.17,7.45,2.73,1.83,20,17,11,6,18,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %16.6 | Volatilite daralıyor | RSI sağlıklı bölgede 54.2 | Erken momentum,Belirgin risk yok,-1.2,0.26,-3.21,,0.56,-3.21,0.56,-3.21,0.0,0.0,5g_güncellendi
2026-07-24,2026-07-24 12:09:26,ECOGR,44.56,3,75,49.25,GÜÇLÜ ADAY,64.3,4.77,1.53,1.42,7.24,25.57,0.89,0.11,3.05,9.24,0.81,12.24,18.83,4.36,20,25,0,10,15,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 1.53x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Güçlü kapanış | RSI sağlıklı bölgede 64.3 | 20 günlük dirence yakın,Belirgin risk yok,-10.68,-25.45,-19.97,,-10.68,-25.9,-10.68,-25.9,0.0,0.0,5g_güncellendi
2026-07-23,2026-07-23 12:14:15,EGEPO,19.38,1,84,59.0,ELİT ADAY,55.39,4.1,0.3,1.87,2.16,14.11,0.74,0.26,3.77,2.19,1.41,3.69,4.25,3.19,20,20,15,6,20,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %14.1 | Volatilite daralıyor | RSI sağlıklı bölgede 55.4 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-3.3,-3.51,-6.5,,-3.3,-6.5,-3.3,-6.5,0.0,0.0,5g_güncellendi
