signal_date,recorded_at,symbol,signal_price,rank,smart_money_score,selection_score,classification,rsi,atr_pct,volume_ratio,volume_accumulation_ratio,up_down_volume_ratio,range_20_pct,close_position,upper_wick_ratio,distance_to_high_20,ema20_distance,return_1d,return_5d_at_signal,return_10d_at_signal,return_20d_at_signal,trend_score,volume_score,compression_score,candle_score,momentum_score,liquidity_score,risk_penalty,positive_reasons,risk_reasons,result_1d,result_3d,result_5d,result_10d,max_result_5d,min_result_5d,max_result_10d,min_result_10d,hit_3pct_5d,hit_5pct_10d,status
2026-07-14,2026-07-15 12:01:17,BIMAS,384.5,2,75,53.05,GÜÇLÜ ADAY,56.82,2.9,1.23,1.18,1.62,12.46,1.0,0.0,3.33,2.83,2.74,2.74,5.27,-0.39,10,23,10,10,17,5,0,EMA20 üzerinde | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.23x | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.5 | Güçlü kapanış | RSI sağlıklı bölgede 56.8 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,3.06,4.03,3.97,0.52,4.03,0.39,4.03,-1.11,1.0,0.0,tamamlandı
2026-07-14,2026-07-14 11:41:51,EDIP,38.64,3,71,50.65,GÜÇLÜ ADAY,56.54,3.49,0.15,1.2,1.75,14.65,0.62,0.38,6.12,2.54,1.42,-2.52,4.72,7.1,20,17,10,6,15,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %14.7 | RSI sağlıklı bölgede 56.5,Belirgin risk yok,1.76,-0.36,-7.35,-11.54,1.76,-7.35,1.76,-11.54,0.0,0.0,tamamlandı
2026-07-14,2026-07-15 12:01:17,KRDMA,41.02,3,79,52.35,GÜÇLÜ ADAY,59.55,2.86,2.09,0.86,4.9,11.01,0.98,0.02,1.25,3.36,0.69,4.8,2.14,-0.97,20,17,10,10,17,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 2.09x | Yükselen gün hacmi baskın | Güçlü sıkışma %11.0 | Güçlü kapanış | RSI sağlıklı bölgede 59.5 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,0.29,10.39,5.27,3.56,16.92,0.29,16.92,0.29,1.0,1.0,tamamlandı
2026-07-13,2026-07-13 12:58:44,LYDHO,186.2,1,73,52.1,GÜÇLÜ ADAY,50.72,3.42,0.36,1.41,2.0,13.22,0.66,0.34,5.86,0.47,0.59,-2.1,3.44,3.96,14,20,15,6,15,3,0,EMA20 üzerinde | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %13.2 | Volatilite daralıyor | RSI sağlıklı bölgede 50.7,Belirgin risk yok,-0.86,-1.18,-2.26,-1.56,-0.86,-2.26,-0.86,-3.22,0.0,0.0,tamamlandı
2026-07-13,2026-07-13 12:58:44,EDIP,37.68,2,71,50.65,GÜÇLÜ ADAY,51.7,3.56,0.13,1.17,1.74,14.65,0.7,0.3,8.45,0.36,0.75,-2.18,2.84,3.52,20,17,10,6,15,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %14.7 | RSI sağlıklı bölgede 51.7,Belirgin risk yok,0.16,2.44,-1.91,-8.76,4.35,-1.91,4.35,-8.76,1.0,0.0,tamamlandı
2026-07-13,2026-07-13 12:58:44,ENERY,10.2,3,66,47.15,GÜÇLÜ ADAY,57.58,5.34,0.75,1.66,1.58,29.7,0.83,0.17,13.49,5.37,5.05,5.81,4.29,9.8,16,20,0,10,15,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü kapanış | RSI sağlıklı bölgede 57.6 | Erken momentum,Belirgin risk yok,-2.16,-7.35,-7.25,-8.04,-2.16,-7.35,-2.16,-8.04,0.0,0.0,tamamlandı
2026-07-10,2026-07-13 00:18:11,THYAO,344.5,1,87,60.4,ELİT ADAY,64.17,2.58,0.84,1.35,2.33,10.75,0.88,0.12,3.09,4.48,1.85,3.14,4.16,11.94,20,17,15,10,20,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %10.7 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 64.2 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-3.19,-4.21,-4.79,-7.69,-3.19,-5.37,-3.19,-9.43,0.0,0.0,tamamlandı
2026-07-10,2026-07-13 00:18:11,ASTOR,325.75,2,70,46.3,GÜÇLÜ ADAY,57.44,5.8,1.38,0.92,1.66,28.19,0.88,0.12,3.19,6.66,6.89,2.12,12.42,22.69,20,13,5,10,17,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.38x | Yükselen gün hacmi baskın | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 57.4 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-2.38,-4.07,-9.06,-10.97,-0.23,-12.05,-0.23,-12.05,0.0,0.0,tamamlandı
2026-07-10,2026-07-13 01:04:14,FORTE,98.8,2,78,51.35,GÜÇLÜ ADAY,58.56,3.78,1.28,1.03,1.93,13.9,0.87,0.13,1.15,4.91,6.07,0.36,5.33,9.11,20,13,10,10,20,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.28x | Yükselen gün hacmi baskın | Güçlü sıkışma %13.9 | Güçlü kapanış | RSI sağlıklı bölgede 58.6 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,2.23,6.78,10.83,7.79,10.83,2.23,10.83,2.23,1.0,1.0,tamamlandı
2026-07-10,2026-07-13 01:04:14,AYGAZ,246.0,3,73,48.3,GÜÇLÜ ADAY,66.36,3.31,2.02,1.64,2.16,21.41,0.79,0.21,-4.46,8.85,6.13,11.56,17.42,10.26,14,25,11,8,10,5,0,EMA20 üzerinde | EMA20 eğimi yukarı | Güçlü hacim 2.02x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Kontrollü bant %21.4 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 66.4,Belirgin risk yok,-0.2,3.56,12.91,9.76,12.91,-0.2,16.57,-0.2,1.0,1.0,tamamlandı
