leader,follower,lag_days,train_events,train_success_rate,train_average_return,train_baseline_rate,train_uplift,test_events,test_success_rate,test_average_return,test_median_return,test_baseline_rate,test_uplift,relationship_score
AVPGY,TRHOL,5,10,60.0,3.56,26.35,33.65,4,100.0,6.74,6.26,31.22,68.78,77.91
PGSUS,KAPLM,1,13,53.85,3.21,18.61,35.23,4,100.0,5.95,5.42,21.99,78.01,77.58
BRISA,IEYHO,5,21,38.1,1.89,19.56,18.53,4,100.0,6.59,6.61,8.02,91.98,75.68
ENKAI,ADESE,3,14,28.57,2.48,16.83,11.74,4,100.0,7.58,7.58,12.13,87.87,73.42
THYAO,KAPLM,1,14,42.86,2.71,18.61,24.24,4,100.0,5.28,5.14,21.99,78.01,72.73
GOLTS,KUVVA,1,31,32.26,2.37,20.4,11.86,4,100.0,6.67,7.2,17.43,82.57,71.75
IEYHO,DOGUB,1,63,11.11,-0.48,16.63,-5.52,9,100.0,9.95,9.96,31.95,68.05,70.26
BRISA,TRHOL,3,20,30.0,1.31,26.44,3.56,4,100.0,8.29,9.86,30.96,69.04,69.78
NATEN,ANELE,3,40,17.5,0.73,15.51,1.99,4,100.0,8.63,9.94,26.36,73.64,68.47
LOGO,KTLEV,2,18,38.89,1.87,20.8,18.09,4,100.0,4.29,3.53,28.23,71.77,68.28
BRISA,DOGUB,5,21,14.29,-0.28,16.77,-2.48,4,100.0,9.94,9.94,32.49,67.51,68.27
ASUZU,POLTK,5,22,22.73,0.46,17.17,5.56,4,100.0,5.61,4.38,13.92,86.08,68.01
PGSUS,KONTR,1,13,53.85,2.84,15.19,38.66,4,75.0,7.29,9.98,15.77,59.23,67.6
ISGYO,PRZMA,4,25,16.0,-0.53,14.48,1.52,6,100.0,6.88,6.92,25.63,74.37,66.62
THYAO,OZRDN,1,14,21.43,1.27,14.4,7.03,4,100.0,6.6,6.6,28.63,71.37,66.51
BRISA,YGGYO,2,19,21.05,0.33,8.93,12.12,4,100.0,3.97,3.77,12.92,87.08,66.4
BEGYO,GZNMI,5,31,22.58,1.09,18.56,4.02,4,100.0,5.53,5.4,20.25,79.75,66.36
GWIND,KERVN,5,12,16.67,-0.56,17.37,-0.7,4,100.0,7.35,7.3,26.58,73.42,66.04
PGSUS,OZRDN,1,13,23.08,1.3,14.4,8.68,4,100.0,5.85,5.1,28.63,71.37,65.97
TMSN,BURVA,3,32,15.62,-0.56,18.09,-2.47,4,100.0,8.47,9.99,34.31,65.69,65.97
ENJSA,MAGEN,2,13,23.08,0.18,16.8,6.28,4,100.0,4.36,3.62,15.83,84.17,65.93
AGESA,PEKGY,1,23,21.74,-0.2,20.51,1.23,4,100.0,5.01,4.88,16.18,83.82,65.81
BRISA,BURVA,1,20,15.0,0.08,18.22,-3.22,4,100.0,8.39,9.93,34.44,65.56,65.7
ASGYO,SDTTR,4,9,44.44,1.83,13.69,30.75,4,75.0,7.49,9.98,12.6,62.4,65.47
RAYSG,PENTA,4,51,13.73,-0.36,9.96,3.77,4,100.0,4.22,4.01,7.14,92.86,65.21
AGHOL,TKFEN,1,15,6.67,0.41,14.79,-8.13,5,100.0,7.06,8.08,21.99,78.01,65.03
NTHOL,KAPLM,1,27,22.22,0.72,18.61,3.61,4,100.0,4.95,4.53,21.99,78.01,65.01
NATEN,PRZMA,5,40,12.5,0.03,14.51,-2.01,4,100.0,7.1,7.16,25.74,74.26,65.0
MNDTR,KLRHO,3,13,15.38,1.39,15.28,0.1,5,100.0,6.73,6.61,28.45,71.55,65.0
KLSER,KTLEV,5,13,23.08,-0.25,20.8,2.28,4,100.0,5.68,4.84,28.57,71.43,64.76
BEGYO,MARTI,1,30,10.0,0.29,13.47,-3.47,4,100.0,5.97,5.61,16.18,83.82,64.72
ISCTR,INVEO,2,14,14.29,-0.07,14.23,0.06,4,100.0,4.61,5.04,10.42,89.58,64.7
TAVHL,HEDEF,2,11,27.27,1.26,19.76,7.51,5,100.0,4.03,3.33,28.05,71.95,64.52
KLSER,DITAS,3,20,5.0,-1.65,16.1,-11.1,4,100.0,7.55,7.7,24.27,75.73,64.47
ASUZU,TMPOL,5,22,9.09,-0.27,19.16,-10.07,4,100.0,6.86,7.2,23.63,76.37,64.38
ISCTR,DITAS,2,14,21.43,0.81,16.07,5.36,4,100.0,4.75,4.25,24.17,75.83,64.38
BEGYO,KGYO,1,31,3.23,30.65,1.18,2.04,4,100.0,6.91,7.08,21.16,78.84,64.09
AGHOL,RALYH,2,15,46.67,1.64,18.38,28.29,5,80.0,5.39,3.91,20.42,59.58,64.08
YYLGD,BRKVY,5,13,38.46,1.95,22.27,16.2,6,83.33,5.32,6.5,14.77,68.57,63.98
JANTS,BIGTK,1,39,30.77,0.62,24.55,6.21,7,85.71,6.52,9.96,19.09,66.63,63.69
SMRTG,OZATD,1,12,25.0,0.18,16.98,8.02,13,84.62,5.89,7.33,22.63,61.98,63.05
BEGYO,KAPLM,1,30,10.0,-0.54,18.61,-8.61,4,100.0,5.55,5.37,21.99,78.01,62.93
GARAN,ULUSE,1,25,28.0,0.53,15.05,12.95,6,83.33,6.45,7.75,15.77,67.57,62.9
AKCNS,BURVA,1,17,23.53,0.54,18.22,5.31,9,88.89,7.24,9.7,34.44,54.45,62.86
PGSUS,KSTUR,2,12,58.33,4.13,29.17,29.17,4,75.0,3.96,4.02,12.08,62.92,62.82
ALARK,PCILT,1,11,36.36,1.87,15.64,20.72,5,80.0,6.0,5.87,15.35,64.65,62.81
ENKAI,BURVA,1,14,0.0,-0.09,18.22,-18.22,4,100.0,8.45,9.96,34.44,65.56,62.79
YYLGD,POLTK,4,13,30.77,1.64,17.13,13.64,6,83.33,5.4,5.66,13.87,69.47,62.36
KLSER,LIDER,1,21,19.05,0.42,18.74,0.31,4,100.0,4.08,3.97,23.24,76.76,62.33
AYGAZ,PRZMA,4,12,33.33,1.14,14.48,18.85,6,83.33,5.84,6.38,25.63,57.7,61.96
MPARK,SAYAS,5,21,38.1,1.33,14.77,23.32,6,83.33,3.22,3.51,14.35,68.99,61.91
OYYAT,DOGUB,3,11,27.27,0.49,16.7,10.57,12,83.33,6.29,8.65,32.22,51.12,61.86
BEGYO,BAKAB,5,31,6.45,-0.23,13.97,-7.52,4,100.0,4.14,3.75,13.5,86.5,61.8
TAVHL,DGNMO,4,11,36.36,2.05,13.75,22.62,5,80.0,4.94,3.98,14.29,65.71,61.72
ENKAI,IHAAS,1,14,7.14,0.44,17.55,-10.41,4,100.0,5.17,5.04,24.07,75.93,61.37
DOHOL,DITAS,1,9,44.44,1.68,16.04,28.4,4,75.0,6.49,7.19,24.07,50.93,61.32
YBTAS,MANAS,4,60,28.33,0.24,21.43,6.9,10,80.0,7.95,9.92,32.35,47.65,61.16
NTHOL,HEDEF,2,27,14.81,1.1,19.76,-4.95,4,100.0,4.46,3.55,28.05,71.95,61.04
BEGYO,KERVN,5,31,12.9,0.4,17.37,-4.46,4,100.0,4.49,4.54,26.58,73.42,61.0
DOHOL,KAPLM,1,9,55.56,2.11,18.61,36.94,4,75.0,3.61,5.14,21.99,53.01,60.92
RAYSG,LYDHO,4,51,37.25,0.71,21.12,16.14,4,75.0,6.93,9.45,13.45,61.55,60.83
DEVA,BJKAS,1,10,60.0,3.3,14.65,45.35,5,60.0,6.15,9.69,13.69,46.31,60.79
NTHOL,OZRDN,1,27,7.41,-0.13,14.4,-6.99,4,100.0,5.33,4.05,28.63,71.37,60.75
PARSN,ATEKS,2,19,31.58,0.89,15.87,15.71,5,80.0,6.44,9.93,20.83,59.17,60.67
AGHOL,TCKRC,2,8,37.5,2.24,15.44,22.06,5,80.0,4.56,4.25,18.18,61.82,60.51
MNDTR,BURVA,3,20,40.0,2.2,18.09,21.91,5,80.0,6.28,6.64,34.31,45.69,60.34
ICBCT,OZATD,1,14,28.57,1.0,16.98,11.59,10,80.0,5.49,6.14,22.63,57.37,60.16
TAVHL,MANAS,2,11,45.45,-0.38,21.74,23.72,5,80.0,4.93,4.68,32.5,47.5,60.04
AKFGY,BURVA,4,15,33.33,1.78,17.93,15.41,6,83.33,5.93,6.99,34.45,48.88,59.81
RAYSG,EKOS,3,24,29.17,0.59,13.87,15.3,5,80.0,5.12,6.05,12.86,67.14,59.74
ALKIM,ONCSM,3,14,21.43,0.87,13.32,8.11,6,83.33,5.86,4.64,18.41,64.92,59.44
BRISA,PAPIL,4,21,42.86,1.64,26.39,16.47,4,75.0,5.31,5.41,14.29,60.71,59.4
SAHOL,OZRDN,1,14,28.57,1.78,14.4,14.17,6,83.33,5.63,5.1,28.63,54.7,59.39
BANVT,ATATP,2,48,29.17,0.85,19.64,9.52,5,80.0,6.85,9.94,23.33,56.67,59.37
SOKM,VANGD,1,10,40.0,1.76,19.8,20.2,5,80.0,3.51,3.72,19.09,60.91,58.98
PLTUR,YAPRK,2,45,13.33,-0.68,20.55,-7.22,6,83.33,6.28,7.75,10.42,72.92,58.84
DOHOL,CELHA,2,8,37.5,1.21,15.48,22.02,4,75.0,6.11,7.62,22.08,52.92,58.8
PENTA,ANELE,1,18,22.22,0.78,15.45,6.78,6,83.33,6.46,8.32,26.14,57.19,58.75
MPARK,MANAS,5,21,33.33,0.26,21.27,12.06,6,83.33,5.26,5.3,32.49,50.84,58.7
ORMA,OZATD,1,16,25.0,-1.08,16.98,8.02,9,77.78,6.44,7.33,22.63,55.14,58.61
ELITE,TEHOL,5,44,34.09,0.64,25.25,8.84,5,80.0,5.28,6.0,20.68,59.32,58.43
ISSEN,ICBCT,5,10,30.0,1.04,13.77,16.23,7,71.43,6.15,6.58,10.13,61.3,58.42
MPARK,TKFEN,1,21,23.81,0.05,14.79,9.02,6,83.33,5.17,5.66,21.99,61.34,58.3
PARSN,BMSTL,3,20,25.0,0.58,15.05,9.95,5,80.0,5.66,5.79,16.33,63.67,58.22
ZOREN,DOGUB,3,18,27.78,1.44,16.7,11.08,5,80.0,7.25,9.94,32.22,47.78,58.15
KLKIM,KRDMB,3,26,15.38,0.12,10.34,5.05,8,87.5,4.02,4.82,19.67,67.83,58.05
PGSUS,CVKMD,1,13,46.15,1.99,18.74,27.42,4,75.0,4.11,5.74,23.65,51.35,58.03
DESA,KTLEV,2,18,50.0,2.58,20.8,29.2,7,71.43,4.34,5.8,28.23,43.2,58.03
NATEN,EFOR,1,16,25.0,1.45,17.92,7.08,5,80.0,6.56,8.72,22.63,57.37,57.88
ALARK,VBTYZ,1,11,27.27,2.38,14.65,12.62,5,80.0,5.08,6.5,18.67,61.33,57.73
ENKAI,AZTEK,3,14,28.57,1.25,16.04,12.53,4,75.0,6.26,7.36,12.55,62.45,57.72
GWIND,SDTTR,4,12,33.33,1.02,13.69,19.64,4,75.0,4.88,4.8,12.6,62.4,57.66
DOHOL,SELEC,2,8,37.5,0.94,12.5,25.0,4,75.0,4.54,3.81,18.33,56.67,57.64
THYAO,CVKMD,1,14,42.86,2.43,18.74,24.12,4,75.0,4.58,5.69,23.65,51.35,57.58
MNDTR,TERA,3,21,28.57,1.14,24.75,3.82,5,80.0,5.7,4.95,18.83,61.17,57.57
DOHOL,KRDMB,3,8,37.5,0.96,10.34,27.16,4,75.0,4.45,5.63,19.67,55.33,57.56
NATEN,AGROT,4,30,26.67,1.09,16.34,10.33,4,75.0,6.08,8.04,8.75,66.25,57.5
KLSER,FONET,1,21,28.57,1.67,18.34,10.23,4,75.0,6.56,8.79,14.52,60.48,57.43
ALARK,SAYAS,1,11,18.18,1.44,15.05,3.13,5,80.0,6.46,6.29,14.52,65.48,57.39
ISCTR,BURCE,1,14,35.71,1.07,18.34,17.37,4,75.0,6.07,8.15,24.07,50.93,57.29
KLGYO,KTLEV,1,26,30.77,-0.02,20.8,9.97,12,75.0,5.32,5.05,28.11,46.89,57.26
LOGO,AHGAZ,1,22,40.91,1.85,10.3,30.61,4,75.0,2.49,3.78,12.86,62.14,57.19
SAHOL,DGNMO,4,13,23.08,1.34,13.75,9.33,5,80.0,4.94,5.15,14.29,65.71,57.07
AVPGY,ENTRA,5,10,30.0,1.97,10.68,19.32,4,75.0,4.28,4.14,8.16,66.84,56.94
NTHOL,KONTR,1,27,25.93,0.06,15.19,10.74,4,75.0,6.7,8.44,15.77,59.23,56.94
KLSER,ANELE,5,21,38.1,1.48,15.57,22.53,4,75.0,5.25,5.83,26.16,48.84,56.89
BRISA,BIGTK,1,20,35.0,1.41,24.55,10.45,4,75.0,5.91,7.61,19.09,55.91,56.86
BRISA,BURCE,1,21,28.57,0.33,18.34,10.23,4,75.0,7.45,8.64,24.07,50.93,56.86
KRDMD,DOGUB,2,16,25.0,0.7,16.67,8.33,9,77.78,6.49,8.33,32.08,45.69,56.85
AKFGY,TRHOL,2,16,31.25,1.11,26.39,4.86,6,83.33,4.79,4.9,30.83,52.5,56.83
KATMR,MANAS,3,48,31.25,0.68,21.58,9.67,8,75.0,6.92,9.92,32.64,42.36,56.8
TAVHL,KERVN,1,10,20.0,0.94,17.43,2.57,5,80.0,7.4,9.86,26.14,53.86,56.76
GWIND,PNSUT,5,12,25.0,0.81,7.16,17.84,4,75.0,4.77,4.88,6.75,68.25,56.73
THYAO,DITAS,2,13,38.46,2.92,16.07,22.39,4,75.0,4.82,5.51,24.17,50.83,56.7
YYLGD,PASEU,5,9,22.22,0.21,17.87,4.36,6,83.33,5.55,4.55,27.85,55.49,56.69
AGHOL,MAALT,1,15,53.33,2.81,15.64,37.69,5,60.0,4.66,3.08,10.79,49.21,56.65
MNDTR,ADGYO,2,13,23.08,0.42,10.19,12.89,5,80.0,4.38,4.82,15.0,65.0,56.62
KLSER,PATEK,1,15,40.0,2.38,23.94,16.06,4,75.0,4.38,4.83,18.11,56.89,56.61
OZKGY,DESA,1,19,21.05,0.4,13.81,7.25,5,80.0,4.65,4.65,11.2,68.8,56.53
ATAKP,ULUSE,1,11,45.45,2.02,15.05,30.41,6,66.67,4.24,4.91,15.77,50.9,56.53
ISCTR,PNLSN,4,13,30.77,1.25,15.14,15.63,4,75.0,4.86,4.39,12.61,62.39,56.52
VKGYO,TCKRC,1,12,25.0,1.19,15.44,9.56,6,83.33,3.24,3.86,18.11,65.23,56.51
TABGD,QNBTR,1,17,29.41,1.65,20.12,9.29,4,75.0,5.46,6.79,11.2,63.8,56.48
ULUUN,DMRGD,4,13,23.08,0.59,14.4,8.68,5,80.0,5.56,4.02,21.43,58.57,56.47
ENJSA,KUVVA,2,12,41.67,3.11,20.44,21.23,4,75.0,3.42,4.0,17.5,57.5,56.4
MRSHL,KONTR,5,55,20.0,-0.34,14.71,5.29,8,75.0,6.37,8.27,16.03,58.97,56.39
YIGIT,MANAS,5,23,26.09,-0.6,21.27,4.81,6,83.33,5.41,6.59,32.49,50.84,56.39
THYAO,GZNMI,1,14,35.71,1.3,18.42,17.3,4,75.0,4.9,5.86,19.92,55.08,56.35
AGHOL,ANELE,1,15,26.67,1.29,15.45,11.22,5,80.0,5.35,9.98,26.14,53.86,56.31
ENJSA,PRZMA,1,13,38.46,2.55,14.4,24.06,4,75.0,4.55,5.18,25.31,49.69,56.31
DGNMO,ANELE,3,19,21.05,1.16,15.51,5.55,20,75.0,6.19,9.85,26.36,48.64,56.31
PENTA,EFOR,3,9,22.22,0.0,17.92,4.31,5,80.0,6.18,6.41,22.82,57.18,56.3
SOKM,FENER,4,10,30.0,0.03,17.73,12.27,5,80.0,2.94,3.29,12.61,67.39,56.23
DEVA,PCILT,5,10,30.0,0.59,15.37,14.63,5,80.0,3.1,3.46,15.61,64.39,56.22
YIGIT,KERVN,1,23,26.09,0.39,17.43,8.66,6,83.33,4.05,4.27,26.14,57.19,56.2
VKGYO,A1CAP,3,19,15.79,0.74,11.29,4.5,6,83.33,4.35,5.21,15.06,68.27,56.18
GOZDE,PCILT,5,21,23.81,0.65,15.37,8.44,5,80.0,4.45,5.45,15.61,64.39,56.08
TOASO,KAPLM,1,18,27.78,1.67,18.61,9.16,6,83.33,3.14,4.06,21.99,61.34,56.07
YYLGD,IHAAS,3,13,15.38,-0.09,17.62,-2.24,6,83.33,6.01,6.0,24.27,59.07,56.07
ISCTR,KUVVA,2,14,35.71,1.47,20.44,15.28,4,75.0,4.58,4.8,17.5,57.5,56.05
PARSN,TMPOL,1,19,21.05,0.13,19.41,1.65,5,80.0,6.66,9.92,24.48,55.52,56.05
LOGO,DITAS,2,22,31.82,1.54,16.07,15.75,4,75.0,5.93,6.77,24.17,50.83,56.04
TBORG,GMTAS,5,28,28.57,0.85,14.91,13.66,4,75.0,5.31,6.56,14.77,60.23,56.02
PGSUS,SURGY,3,11,27.27,1.24,15.01,12.26,4,75.0,5.52,6.87,14.11,60.89,56.0
YIGIT,IHAAS,3,23,21.74,-0.95,17.62,4.12,6,83.33,4.7,4.32,24.27,59.07,56.0
ATAKP,OZRDN,4,11,18.18,0.4,14.29,3.9,6,83.33,5.83,5.52,28.99,54.34,56.0
ENKAI,BESLR,3,14,35.71,2.38,14.12,21.6,4,75.0,2.82,3.17,9.62,65.38,55.94
KATMR,FENER,5,48,25.0,0.46,17.76,7.24,8,75.0,4.7,4.24,12.66,62.34,55.85
SAHOL,KAPLM,1,14,21.43,1.66,18.61,2.81,6,83.33,4.42,4.46,21.99,61.34,55.77
GWIND,ANELE,5,12,33.33,1.28,15.57,17.76,4,75.0,5.59,6.54,26.16,48.84,55.73
NATEN,EGPRO,5,40,22.5,0.84,13.32,9.18,4,75.0,6.53,7.63,16.03,58.97,55.72
OZKGY,KLRHO,1,13,23.08,0.75,15.28,7.8,5,80.0,5.99,8.32,28.22,51.78,55.63
ASUZU,DMRGD,1,12,33.33,1.63,14.4,18.93,4,75.0,4.79,5.13,21.58,53.42,55.62
BRISA,UFUK,1,20,35.0,2.78,24.36,10.64,4,75.0,4.93,7.73,18.26,56.74,55.59
ATAKP,SARKY,1,11,9.09,0.13,9.27,-0.18,6,83.33,6.0,8.47,20.33,63.0,55.58
MNDTR,DITAS,4,21,19.05,-0.21,15.94,3.11,5,80.0,6.38,7.97,24.37,55.63,55.47
ASUZU,CRDFA,2,22,36.36,0.93,21.74,14.62,4,75.0,4.78,3.23,22.08,52.92,55.47
TEZOL,ISKPL,5,23,30.43,1.4,18.29,12.14,7,71.43,5.76,8.09,19.41,52.02,55.45
AVPGY,KZBGY,5,11,36.36,1.37,17.89,18.47,4,75.0,2.84,3.62,10.55,64.45,55.44
DOHOL,PSGYO,1,9,33.33,-0.29,17.16,16.17,4,75.0,4.53,4.07,18.67,56.33,55.4
GOLTS,PCILT,2,30,26.67,0.5,15.48,11.19,4,75.0,5.47,7.28,15.42,59.58,55.38
TBORG,KTLEV,3,19,36.84,0.9,20.8,16.04,4,75.0,5.32,4.48,28.34,46.66,55.34
PGSUS,MHRGY,3,12,25.0,1.38,10.93,14.07,4,75.0,4.54,3.38,9.24,65.76,55.32
GWIND,PRKME,5,12,25.0,1.04,9.58,15.42,4,75.0,4.86,4.63,12.66,62.34,55.32
BFREN,KTLEV,5,17,23.53,0.69,20.8,2.73,5,80.0,6.25,7.64,28.57,51.43,55.28
AYGAZ,BJKAS,2,11,9.09,-0.16,14.68,-5.59,6,83.33,4.9,3.67,13.75,69.58,55.25
MNDTR,DOGUB,5,21,23.81,0.64,16.77,7.04,5,80.0,6.27,9.96,32.49,47.51,55.23
KLSER,YEOTK,1,21,23.81,0.61,16.57,7.24,4,75.0,6.68,7.23,19.68,55.32,55.18
INDES,VBTYZ,1,22,45.45,3.08,14.65,30.8,6,66.67,3.68,4.82,18.67,47.99,55.16
NATEN,IZFAS,3,40,22.5,1.02,16.44,6.06,4,75.0,6.0,6.86,12.97,62.03,55.06
TBORG,ATATP,5,28,35.71,1.0,19.16,16.55,4,75.0,4.54,4.71,23.21,51.79,55.04
AKFGY,MANAS,2,16,43.75,1.45,21.74,22.01,6,66.67,6.54,9.16,32.5,34.17,55.03
ISCTR,DGATE,2,14,42.86,2.63,21.63,21.23,4,75.0,2.11,3.1,15.83,59.17,55.01
AGHOL,DOGUB,2,14,21.43,0.02,16.67,4.76,5,80.0,6.62,6.86,32.08,47.92,55.01
PENTA,PRZMA,1,18,11.11,-0.58,14.4,-3.29,6,83.33,6.0,9.25,25.31,58.02,54.99
JANTS,PASEU,5,25,20.0,1.18,17.87,2.13,6,83.33,4.93,7.11,27.85,55.49,54.98
SOKE,EFOR,1,14,28.57,0.95,17.92,10.66,8,75.0,4.63,5.44,22.63,52.37,54.98
BRISA,ENSRI,4,21,33.33,1.46,23.02,10.32,4,75.0,5.19,4.73,21.43,53.57,54.96
ALKIM,ODINE,2,10,20.0,0.79,20.29,-0.29,6,83.33,4.98,4.67,26.86,56.47,54.93
AVPGY,MOBTL,5,11,36.36,1.45,16.7,19.66,4,75.0,3.5,4.05,18.99,56.01,54.92
MNDTR,AHSGY,2,8,50.0,3.98,18.59,31.41,5,60.0,5.64,4.42,19.01,40.99,54.87
YATAS,KRDMB,2,11,9.09,0.47,10.32,-1.23,6,83.33,5.37,5.59,19.58,63.75,54.79
ATAKP,BRLSM,1,11,36.36,1.11,13.86,22.5,6,66.67,4.86,3.91,14.11,52.56,54.78
PGSUS,GMTAS,3,13,23.08,1.01,15.05,8.03,4,75.0,5.79,6.13,15.06,59.94,54.74
GOKNR,BSOKE,1,20,35.0,1.67,20.0,15.0,7,71.43,3.62,3.34,13.69,57.74,54.73
NATEN,BURCE,3,40,30.0,1.05,18.22,11.78,4,75.0,5.71,6.28,24.27,50.73,54.73
GOLTS,OZRDN,2,32,34.38,0.98,14.23,20.15,4,75.0,4.89,6.75,28.75,46.25,54.73
PENTA,OZATD,2,8,37.5,1.71,16.98,20.52,6,66.67,6.02,9.23,22.73,43.94,54.73
TUKAS,CRDFA,1,29,17.24,0.44,21.7,-4.45,6,83.33,4.58,3.62,22.41,60.93,54.67
TABGD,KONTR,2,17,17.65,0.56,15.02,2.63,4,75.0,7.11,9.92,15.83,59.17,54.67
AVPGY,GENTS,5,11,27.27,0.95,15.71,11.57,4,75.0,4.58,5.1,13.5,61.5,54.61
CMENT,GUNDG,1,20,10.0,-0.72,17.0,-7.0,7,85.71,6.52,5.78,39.09,46.62,54.6
CMBTN,CATES,5,37,10.81,-1.28,12.53,-1.72,6,83.33,4.57,4.11,16.32,67.02,54.59
BIMAS,LIDER,1,13,30.77,1.4,18.74,12.03,5,80.0,3.18,6.38,23.24,56.76,54.58
TMSN,CRDFA,2,33,24.24,0.36,21.74,2.5,4,75.0,7.01,9.92,22.08,52.92,54.57
LOGO,HALKB,1,22,27.27,1.53,11.09,16.18,4,75.0,4.66,5.2,17.84,57.16,54.55
MPARK,KERVN,1,21,19.05,0.48,17.43,1.62,6,83.33,4.59,5.17,26.14,57.19,54.54
INVEO,ESCOM,4,32,25.0,0.5,18.45,6.55,8,75.0,4.87,5.22,20.17,54.83,54.5
YATAS,GZNMI,1,12,41.67,-0.51,18.42,23.25,6,66.67,4.65,5.86,19.92,46.75,54.48
PETUN,OZATD,1,9,22.22,0.3,16.98,5.24,4,75.0,6.98,9.98,22.63,52.37,54.42
TMSN,BLUME,5,33,30.3,0.9,21.67,8.63,4,75.0,4.33,3.78,13.58,61.42,54.38
THYAO,DGNMO,4,14,21.43,1.07,13.75,7.68,4,75.0,5.69,6.44,14.29,60.71,54.37
PENTA,GARFA,1,18,38.89,1.38,16.96,21.93,6,66.67,3.83,3.77,10.79,55.88,54.32
SNPAM,TRHOL,2,76,30.26,0.73,26.39,3.87,8,75.0,5.73,6.38,30.83,44.17,54.31
GOLTS,TATEN,1,32,25.0,0.86,15.78,9.22,4,75.0,5.58,7.04,18.67,56.33,54.27
MNDTR,TRHOL,2,20,30.0,0.27,26.39,3.61,5,80.0,4.92,4.97,30.83,49.17,54.26
ULUUN,GIPTA,4,13,15.38,0.44,18.77,-3.38,5,80.0,5.73,6.02,19.75,60.25,54.22
NTHOL,KARTN,5,27,18.52,0.3,13.37,5.15,4,75.0,6.41,7.58,15.61,59.39,54.22
LMKDC,KLRHO,2,14,21.43,1.16,15.28,6.15,5,80.0,5.43,7.1,28.33,51.67,54.19
ISCTR,TGSAS,2,14,28.57,2.0,20.04,8.53,4,75.0,4.55,3.25,14.58,60.42,54.15
INDES,PRZMA,1,23,13.04,0.78,14.4,-1.35,6,83.33,5.17,4.99,25.31,58.02,54.13
ISFIN,BURCE,1,22,9.09,-0.35,18.34,-9.25,5,80.0,7.07,7.77,24.07,55.93,54.11
CCOLA,KLRHO,1,9,22.22,1.9,15.28,6.94,9,77.78,4.64,4.5,28.22,49.56,54.08
ALARK,GESAN,1,11,54.55,2.78,15.64,38.9,5,60.0,3.55,3.36,17.43,42.57,54.08
ASUZU,KAPLM,1,21,33.33,1.04,18.61,14.72,4,75.0,4.22,4.79,21.99,53.01,54.06
HUNER,OZATD,1,11,18.18,1.67,16.98,1.2,8,75.0,6.32,6.1,22.63,52.37,54.02
TMSN,DMRGD,1,19,26.32,1.18,14.4,11.92,4,75.0,5.34,5.25,21.58,53.42,54.0
LMKDC,BIOEN,3,25,8.0,-0.17,12.28,-4.28,6,83.33,4.26,4.86,14.23,69.11,53.98
BEGYO,HLGYO,4,31,22.58,0.63,11.9,10.68,4,75.0,4.55,5.01,11.07,63.93,53.98
AZTEK,METRO,5,49,20.41,0.61,13.37,7.03,12,75.0,4.1,4.99,22.78,52.22,53.98
OFSYM,TRHOL,2,15,60.0,3.23,26.39,33.61,16,56.25,4.09,3.21,30.83,25.42,53.95
KIMMR,FORTE,5,25,20.0,0.04,13.67,6.33,9,77.78,3.44,4.4,17.3,60.48,53.93
EGEPO,GZNMI,3,43,23.26,0.31,18.49,4.77,9,77.78,3.52,5.05,20.08,57.69,53.91
NATEN,ICBCT,4,40,20.0,0.53,13.75,6.25,4,75.0,5.15,3.88,10.08,64.92,53.9
KLSER,SAFKR,1,21,38.1,1.44,21.1,16.99,4,75.0,2.58,3.57,17.01,57.99,53.89
GOODY,ANELE,4,17,11.76,-0.37,15.54,-3.77,6,83.33,5.28,5.1,26.05,57.28,53.89
ASUZU,KUVVA,1,21,23.81,0.41,20.4,3.41,4,75.0,5.89,5.79,17.43,57.57,53.87
EGPRO,PRZMA,1,31,12.9,0.1,14.4,-1.5,12,75.0,6.07,9.55,25.31,49.69,53.87
PARSN,VERUS,1,19,5.26,0.19,15.05,-9.79,5,80.0,6.74,7.39,19.09,60.91,53.84
ISCTR,INTEM,2,14,21.43,0.26,14.48,6.94,4,75.0,5.45,4.96,14.58,60.42,53.84
ENKAI,MACKO,3,14,14.29,1.37,14.65,-0.37,4,75.0,6.98,7.89,13.81,61.19,53.82
PARSN,DITAS,2,19,10.53,-1.11,16.07,-5.55,5,80.0,6.7,6.3,24.17,55.83,53.82
ALARK,ATATP,4,11,18.18,0.32,19.32,-1.14,5,80.0,5.53,5.35,23.11,56.89,53.81
BIMAS,PNLSN,4,13,7.69,-0.8,15.14,-7.45,5,80.0,5.52,4.94,12.61,67.39,53.8
MPARK,MAALT,5,21,28.57,0.78,15.77,12.8,6,66.67,5.71,8.07,10.55,56.12,53.76
ASUZU,RALYH,1,22,27.27,-0.11,18.34,8.93,4,75.0,5.18,5.65,20.33,54.67,53.75
VESBE,DAGI,4,16,25.0,1.37,18.06,6.94,4,75.0,4.42,5.65,10.92,64.08,53.74
POLHO,TATEN,1,39,30.77,1.6,15.78,14.99,14,64.29,5.14,4.95,18.67,45.61,53.74
VAKKO,METRO,4,20,40.0,1.05,13.55,26.45,9,66.67,3.43,4.59,22.69,43.98,53.74
AVPGY,PRKAB,5,10,10.0,-0.59,12.77,-2.77,4,75.0,7.33,9.0,12.66,62.34,53.71
AFYON,SAYAS,1,12,25.0,-1.01,15.05,9.95,4,75.0,4.58,4.86,14.52,60.48,53.71
NATEN,MRGYO,5,40,25.0,0.33,18.89,6.11,4,75.0,5.0,4.95,14.77,60.23,53.71
