leader,follower,lag_days,train_events,train_success_rate,train_average_return,train_baseline_rate,train_uplift,test_events,test_success_rate,test_average_return,test_median_return,test_baseline_rate,test_uplift,relationship_score
BEGYO,TMSN,1,30,20.0,1.23,14.46,5.54,4,50.0,2.43,2.02,5.39,44.61,36.9
NATEN,FONET,3,40,20.0,1.46,18.42,1.58,4,50.0,4.06,3.36,14.64,35.36,36.9
LOGO,VAKBN,5,22,22.73,0.77,12.77,9.95,4,50.0,2.25,2.12,10.13,39.87,36.89
LOGO,BLUME,2,22,31.82,2.16,21.94,9.88,4,50.0,1.54,1.22,13.82,36.18,36.89
BRYAT,MAALT,4,38,18.42,0.12,15.74,2.68,11,45.45,2.94,2.56,10.5,34.95,36.89
PENTA,ODINE,3,9,11.11,0.31,20.29,-9.17,5,60.0,3.04,4.01,26.97,33.03,36.89
GWIND,ISKPL,1,13,30.77,0.97,18.34,12.43,4,50.0,2.18,2.83,19.5,30.5,36.89
MOBTL,BAHKM,1,19,15.79,0.09,12.46,3.33,12,50.0,2.84,2.51,22.63,27.37,36.89
ORGE,ARDYZ,2,27,22.22,0.16,19.05,3.17,15,46.67,3.09,2.9,21.67,25.0,36.89
JANTS,SNGYO,5,39,17.95,0.82,13.32,4.63,6,50.0,2.52,2.41,8.44,41.56,36.88
ALARK,YEOTK,5,11,0.0,-0.51,15.9,-15.9,5,60.0,3.53,3.21,19.59,40.41,36.88
BEGYO,PAPIL,1,31,29.03,0.99,26.43,2.6,4,50.0,2.67,1.38,14.11,35.89,36.88
GOKNR,DMRGD,5,17,5.88,-0.6,14.4,-8.52,7,57.14,3.39,3.0,21.52,35.62,36.88
MPARK,CWENE,1,21,23.81,0.7,13.02,10.79,6,50.0,2.21,1.75,16.6,33.4,36.88
DGATE,ALGYO,5,57,10.53,0.06,9.74,0.78,17,52.94,2.39,3.0,20.25,32.69,36.88
TUREX,POLHO,2,52,19.23,0.33,15.22,4.01,11,45.45,3.01,2.3,12.92,32.54,36.88
FORTE,CVKMD,4,14,21.43,0.95,18.45,2.98,14,50.0,2.29,2.8,23.95,26.05,36.88
ORGE,ANELE,1,28,28.57,1.24,15.45,13.13,15,46.67,1.84,0.94,26.14,20.53,36.88
GOODY,DGGYO,3,17,17.65,-0.0,12.33,5.32,6,50.0,2.87,2.91,11.3,38.7,36.87
SOKM,ATATP,4,10,20.0,-0.06,19.32,0.68,5,60.0,1.26,4.84,23.11,36.89,36.87
TOASO,QUAGR,1,18,11.11,1.29,10.1,1.01,6,50.0,4.71,3.06,15.35,34.65,36.87
VESBE,KONTR,4,16,25.0,0.31,14.88,10.12,4,50.0,2.7,1.97,15.97,34.03,36.87
PGSUS,ASTOR,1,13,30.77,2.19,12.87,17.9,4,50.0,1.95,1.87,21.99,28.01,36.87
DOHOL,PRZMA,1,9,33.33,0.49,14.4,18.93,4,50.0,1.95,3.91,25.31,24.69,36.87
ASUZU,PKART,5,22,18.18,0.51,17.37,0.82,4,50.0,4.37,4.04,14.77,35.23,36.86
CATES,KRDMB,3,26,7.69,-0.16,10.34,-2.65,11,54.55,2.5,3.01,19.67,34.88,36.86
MOBTL,TEHOL,3,41,21.95,-0.48,25.15,-3.2,12,50.0,2.05,2.21,20.5,29.5,36.86
USAK,BURCE,5,67,11.94,0.26,18.29,-6.35,10,50.0,4.52,3.84,24.05,25.95,36.86
HURGZ,OZATD,1,25,20.0,0.26,16.98,3.02,21,47.62,3.16,2.11,22.63,24.99,36.86
GOKNR,KOPOL,1,21,4.76,-0.62,12.82,-8.06,7,57.14,2.31,3.57,12.45,44.69,36.85
