rank,symbol,valid,eligible,classification,smart_money_score,close,volume,average_turnover_tl,rsi,atr_pct,ema20_distance,volume_ratio,volume_accumulation_ratio,up_down_volume_ratio,range_20_pct,close_position,upper_wick_ratio,distance_to_high_20,return_1d,return_5d,return_10d,return_20d,positive_reasons,risk_reasons,trend_score,volume_score,compression_score,candle_score,momentum_score,liquidity_score,risk_penalty,selection_score,elite_priority,source,signal_date,signal_price,return_5d_at_signal,return_10d_at_signal,return_20d_at_signal,result_1d,result_3d,result_5d,result_10d,max_result_5d,min_result_5d,max_result_10d,min_result_10d,hit_3pct_5d,hit_5pct_10d,status
1,MGROS,True,True,GÜÇLÜ ADAY,75,539.0,3713301,1374199161.78,58.78,2.44,2.17,1.42,0.98,2.05,11.18,0.95,0.05,3.23,2.96,-0.19,3.95,2.28,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.42x | Yükselen gün hacmi baskın | Güçlü sıkışma %11.2 | Güçlü kapanış | RSI sağlıklı bölgede 58.8 | 20 günlük dirence yakın,Belirgin risk yok,20,13,10,10,17,5,0,49.55,0,historical_backfill,2025-12-24,539.0,-0.19,3.95,2.28,-2.97,-3.8,-3.15,9.09,-2.97,-4.27,9.09,-4.27,0,1,tamamlandı
2,SAHOL,True,True,GÜÇLÜ ADAY,77,85.15,50893005,2618162020.62,54.15,2.72,1.03,1.65,0.84,0.96,8.72,0.86,0.14,3.13,2.9,-1.56,-0.12,4.41,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 1.65x | Güçlü sıkışma %8.7 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 54.2 | 20 günlük dirence yakın,Belirgin risk yok,20,10,15,10,17,5,0,48.7,0,historical_backfill,2025-12-24,85.15,-1.56,-0.12,4.41,-0.65,-1.41,-1.06,6.93,-0.65,-1.94,8.04,-1.94,0,1,tamamlandı
3,KCHOL,True,True,GÜÇLÜ ADAY,69,172.9,43723715,5350466967.97,52.29,2.29,0.49,1.41,1.01,1.0,6.33,0.81,0.19,2.92,2.67,-1.09,0.23,2.92,EMA20 üzerinde | Orta vadeli trend pozitif | Hacim ortalamanın üzerinde 1.41x | Güçlü sıkışma %6.3 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 52.3 | 20 günlük dirence yakın,Belirgin risk yok,16,6,15,10,17,5,0,43.3,0,historical_backfill,2025-12-24,172.9,-1.09,0.23,2.92,-1.1,-3.18,-2.37,5.84,-1.1,-3.18,7.06,-3.18,0,1,tamamlandı
1,THYAO,True,True,GÜÇLÜ ADAY,74,294.5,60705169,9705216385.15,71.6,1.97,6.24,1.74,1.2,5.83,12.56,0.86,0.14,0.25,1.29,9.68,8.57,8.87,EMA20 üzerinde | EMA20 eğimi yukarı | Güçlü hacim 1.74x | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.6 | Güçlü kapanış | 20 günlük dirence yakın,Belirgin risk yok,14,27,10,10,8,5,0,53.05,0,historical_backfill,2026-01-08,294.5,9.68,8.57,8.87,-1.02,-2.55,-2.29,1.53,-1.02,-4.84,1.53,-4.84,0,0,tamamlandı
2,TRGYO,True,True,GÜÇLÜ ADAY,73,78.6,1664271,144282983.52,69.59,2.24,5.19,0.86,1.31,2.24,12.66,0.79,0.21,0.76,0.77,6.22,7.89,6.36,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.7 | Güçlü kapanış | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,17,10,8,13,5,0,51.75,0,historical_backfill,2026-01-08,78.6,6.22,7.89,6.36,0.25,-0.32,0.64,3.31,2.67,-1.72,4.45,-1.72,0,0,tamamlandı
3,ENKAI,True,True,GÜÇLÜ ADAY,78,82.7,10070033,627819852.02,64.51,2.29,3.5,1.28,0.85,3.68,7.64,0.87,0.13,0.06,1.72,4.88,5.96,2.35,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.28x | Yükselen gün hacmi baskın | Güçlü sıkışma %7.6 | Güçlü kapanış | RSI sağlıklı bölgede 64.5 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,13,10,10,20,5,0,51.35,0,historical_backfill,2026-01-08,82.7,4.88,5.96,2.35,-1.57,-2.12,-2.12,-0.67,-1.57,-3.26,1.57,-3.26,0,0,tamamlandı
1,EREGL,True,True,ELİT ADAY,91,26.76,209664977,4049143446.73,66.71,2.19,5.82,1.3,1.36,2.57,14.32,0.93,0.07,0.0,3.24,5.02,8.25,10.76,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.30x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %14.3 | Güçlü kapanış | RSI sağlıklı bölgede 66.7 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,26,10,10,20,5,0,63.45,1,historical_backfill,2026-01-22,26.76,5.02,8.25,10.76,1.12,2.54,6.43,7.25,6.43,1.12,7.7,1.12,1,1,tamamlandı
2,DOCO,True,True,ELİT ADAY,92,10630.0,10113,54158056.5,58.42,3.27,3.12,1.95,1.28,1.37,12.77,0.89,0.11,3.34,4.81,3.33,1.05,5.85,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 1.95x | Hacim birikimi var | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.8 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 58.4 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,24,15,10,20,3,0,62.2,1,historical_backfill,2026-01-22,10630.0,3.33,1.05,5.85,-3.03,-1.93,-4.02,-6.98,-1.93,-4.68,-1.93,-6.98,0,0,tamamlandı
3,THYAO,True,True,ELİT ADAY,87,299.0,63538093,13181394451.5,65.04,2.17,4.26,1.39,1.54,1.52,14.56,0.68,0.32,0.25,0.67,3.91,1.53,10.23,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.39x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %14.6 | RSI sağlıklı bölgede 65.0 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,26,10,6,20,5,0,61.05,1,historical_backfill,2026-01-22,299.0,3.91,1.53,10.23,0.67,-1.59,1.09,6.02,1.09,-1.59,7.19,-1.59,0,1,tamamlandı
1,DOCO,True,True,GÜÇLÜ ADAY,79,11070.0,7959,84521412.62,62.4,3.5,5.87,0.98,1.75,2.95,17.76,0.81,0.19,2.1,0.91,3.39,11.96,4.14,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %17.8 | Güçlü kapanış | RSI sağlıklı bölgede 62.4 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,20,6,10,20,3,0,55.55,0,historical_backfill,2026-02-19,11070.0,3.39,11.96,4.14,-1.54,-0.16,1.9,-11.0,2.8,-1.54,2.8,-15.76,0,0,tamamlandı
2,OZATD,True,True,GÜÇLÜ ADAY,71,182.3,1563811,134359837.65,65.49,4.25,9.06,1.97,3.77,2.51,21.99,0.72,0.28,-0.5,2.88,4.05,17.16,16.11,EMA20 üzerinde | EMA20 eğimi yukarı | Güçlü hacim 1.97x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Kontrollü bant %22.0 | RSI sağlıklı bölgede 65.5 | Erken momentum,Belirgin risk yok,14,25,6,6,15,5,0,47.85,0,historical_backfill,2026-02-19,182.3,4.05,17.16,16.11,-1.32,2.85,5.98,11.35,5.98,-1.32,11.35,-1.32,1,1,tamamlandı
1,TUPRS,True,True,GÜÇLÜ ADAY,74,246.8,45689115,7395196723.56,67.47,3.47,9.31,1.39,1.26,2.14,16.47,0.95,0.05,-2.92,6.84,14.31,11.42,8.96,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.39x | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %16.5 | Güçlü kapanış | RSI sağlıklı bölgede 67.5,Belirgin risk yok,20,23,6,10,10,5,0,48.75,0,historical_backfill,2026-03-05,246.8,14.31,11.42,8.96,4.54,0.49,7.27,2.61,7.27,0.49,7.27,0.49,1,1,tamamlandı
1,BIMAS,True,True,GÜÇLÜ ADAY,65,346.0,5221776,3720581083.32,55.25,3.7,2.15,0.47,0.84,1.88,18.68,1.0,0.0,4.02,2.52,-2.33,7.29,0.29,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Yükselen gün hacmi baskın | Kontrollü bant %18.7 | Güçlü kapanış | RSI sağlıklı bölgede 55.2 | 20 günlük dirence yakın,Belirgin risk yok,20,7,6,10,17,5,0,42.75,0,historical_backfill,2026-03-19,346.0,-2.33,7.29,0.29,0.0,1.88,-3.11,-0.14,1.88,-3.11,1.88,-3.11,0,0,tamamlandı
1,TRGYO,True,True,GÜÇLÜ ADAY,78,88.9,990382,131818687.6,62.63,2.94,4.15,0.64,1.34,5.2,17.5,0.8,0.2,0.45,0.23,5.02,5.52,10.57,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %17.5 | Güçlü kapanış | RSI sağlıklı bölgede 62.6 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,17,6,10,20,5,0,54.55,0,historical_backfill,2026-04-03,88.9,5.02,5.52,10.57,1.8,-0.22,1.91,4.56,1.91,-0.22,4.56,-0.22,0,0,tamamlandı
2,SELEC,True,True,GÜÇLÜ ADAY,74,82.2,1963769,78171434.35,50.81,3.58,0.68,2.04,1.26,1.75,12.64,0.69,0.31,4.31,1.23,0.86,2.56,-2.89,EMA20 üzerinde | Güçlü hacim 2.04x | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.6 | Volatilite daralıyor | RSI sağlıklı bölgede 50.8 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,6,27,15,6,17,3,0,53.0,0,historical_backfill,2026-04-03,82.2,0.86,2.56,-2.89,0.3,3.83,4.93,9.98,4.93,-1.76,9.98,-1.76,1,1,tamamlandı
3,EREGL,True,True,GÜÇLÜ ADAY,75,29.2,202951613,3065080823.5,54.14,3.58,2.52,1.88,0.83,1.83,11.5,0.64,0.36,1.42,3.55,4.66,4.66,1.11,EMA20 üzerinde | Orta vadeli trend pozitif | Güçlü hacim 1.88x | Yükselen gün hacmi baskın | Güçlü sıkışma %11.5 | Volatilite daralıyor | RSI sağlıklı bölgede 54.1 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,12,17,15,6,20,5,0,49.8,0,historical_backfill,2026-04-03,29.2,4.66,4.66,1.11,2.95,1.3,7.19,9.73,7.19,-1.23,9.73,-1.23,1,1,tamamlandı
1,FROTO,True,True,ELİT ADAY,91,109.3,23426487,1516789320.54,57.01,3.22,4.0,1.61,1.78,2.48,13.21,1.0,0.0,0.46,3.21,3.8,9.74,-0.46,EMA20 üzerinde | EMA20 eğimi yukarı | Güçlü hacim 1.61x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %13.2 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 57.0 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,14,30,15,10,17,5,0,63.8,1,historical_backfill,2026-04-17,109.3,3.8,9.74,-0.46,-1.65,-6.4,-6.13,-10.29,-1.65,-6.4,-1.65,-12.17,0,0,tamamlandı
2,AEFES,True,True,ELİT ADAY,86,19.42,79553956,886414280.2,61.0,3.99,7.3,1.61,1.61,1.51,20.25,1.0,0.0,-0.26,4.52,0.62,10.97,10.84,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 1.61x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %20.2 | Güçlü kapanış | RSI sağlıklı bölgede 61.0 | Erken momentum,Belirgin risk yok,20,30,6,10,15,5,0,60.65,1,historical_backfill,2026-04-17,19.42,0.62,10.97,10.84,-1.39,-1.13,-0.93,-0.41,-0.1,-1.6,-0.1,-4.17,0,0,tamamlandı
3,ISDMR,True,True,ELİT ADAY,86,46.6,4652684,167143751.83,66.88,2.9,7.31,1.2,1.53,2.72,12.78,1.0,0.0,-3.05,6.64,4.02,9.91,10.17,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.20x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.8 | Güçlü kapanış | RSI sağlıklı bölgede 66.9 | Erken momentum,Belirgin risk yok,20,26,10,10,15,5,0,60.45,1,historical_backfill,2026-04-17,46.6,4.02,9.91,10.17,-1.85,-3.35,-2.88,13.52,-1.85,-3.56,13.52,-5.79,0,1,tamamlandı
1,ENJSA,True,True,ELİT ADAY,87,122.8,7918277,537508916.38,54.19,3.83,1.51,1.79,1.05,1.57,10.83,0.89,0.11,3.99,0.24,4.78,-1.76,3.37,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 1.79x | Yükselen gün hacmi baskın | Güçlü sıkışma %10.8 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 54.2 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,17,15,10,20,5,0,57.4,1,historical_backfill,2026-05-01,122.8,4.78,-1.76,3.37,0.98,-4.32,-1.87,-6.19,0.98,-4.32,0.98,-6.19,0,0,tamamlandı
2,SISE,True,True,GÜÇLÜ ADAY,76,47.86,70282661,2519817191.91,56.5,3.36,2.48,1.31,0.79,0.89,12.91,0.91,0.09,2.6,4.32,0.97,-0.75,7.26,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.31x | Güçlü sıkışma %12.9 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 56.5 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,6,15,10,20,5,0,47.7,0,historical_backfill,2026-05-01,47.86,0.97,-0.75,7.26,-3.89,3.68,8.23,0.71,8.23,-3.89,9.38,-3.89,1,1,tamamlandı
3,TOASO,True,True,GÜÇLÜ ADAY,67,294.5,3352664,990804526.38,53.26,3.7,1.43,0.97,1.02,1.58,20.24,0.94,0.06,2.81,-0.76,0.51,-1.51,8.07,EMA20 üzerinde | EMA20 eğimi yukarı | Yükselen gün hacmi baskın | Kontrollü bant %20.2 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 53.3 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,14,7,11,10,20,5,0,43.9,0,historical_backfill,2026-05-01,294.5,0.51,-1.51,8.07,-2.89,6.11,8.74,2.55,8.91,-2.89,8.91,-2.89,1,1,tamamlandı
1,CCOLA,True,True,GÜÇLÜ ADAY,73,82.95,4299488,527597960.79,60.06,3.87,3.01,0.67,2.35,2.42,24.15,1.0,0.0,7.01,-0.06,-4.27,10.6,8.72,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 60.1,Belirgin risk yok,20,20,5,10,13,5,0,51.8,0,historical_backfill,2026-05-15,82.95,-4.27,10.6,8.72,-2.17,-3.8,-2.59,-1.75,-1.45,-3.8,-1.45,-3.8,0,0,tamamlandı
1,TTKOM,True,True,ELİT ADAY,89,64.1,48296116,1582427443.27,55.32,3.23,2.63,1.9,2.67,1.07,16.36,0.82,0.18,2.06,3.89,2.89,4.65,0.71,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 1.90x | 10 günlük hacim birikimi güçlü | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %16.4 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 55.3 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,23,11,10,20,5,0,60.0,1,historical_backfill,2026-06-12,64.1,2.89,4.65,0.71,1.48,-2.57,-1.56,-2.89,1.48,-2.57,1.48,-5.3,0,0,tamamlandı
2,TCELL,True,True,GÜÇLÜ ADAY,80,110.7,26346795,2217965165.26,54.85,3.15,3.16,1.26,1.22,2.16,12.1,0.81,0.19,4.16,2.98,5.33,9.6,-3.32,EMA20 üzerinde | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.26x | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.1 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 54.9 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,10,23,15,10,17,5,0,56.3,0,historical_backfill,2026-06-12,110.7,5.33,9.6,-3.32,3.79,1.26,2.44,0.18,4.79,1.26,4.79,-0.27,1,0,tamamlandı
3,AKBNK,True,True,GÜÇLÜ ADAY,76,72.6,247723163,9329064740.18,59.63,3.65,7.38,1.76,1.35,1.73,19.7,1.0,0.0,1.16,8.68,12.56,13.44,0.35,EMA20 üzerinde | EMA20 eğimi yukarı | Güçlü hacim 1.76x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Kontrollü bant %19.7 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 59.6 | 20 günlük dirence yakın,Belirgin risk yok,10,25,11,10,15,5,0,49.9,0,historical_backfill,2026-06-12,72.6,12.56,13.44,0.35,5.72,7.44,12.74,6.4,12.74,5.72,12.95,5.72,1,1,tamamlandı
