pool_rank,symbol,v22_signal_state,v22_signal_score,risk_class,risk_score,regime,market_percentile,timing_confidence,expected_return,downside_20pct,upside_80pct,close,v27_decision,v27_master_score,risk_class_v27,risk_score_v27,regime_v27,market_percentile_v27,timing_confidence_v27,expected_return_v27,downside_20pct_v27,upside_80pct_v27,close_v27,v32_decision,v32_score,v32_confidence,risk_class_v32,risk_score_v32,regime_v32,market_percentile_v32,timing_confidence_v32,expected_return_v32,downside_20pct_v32,upside_80pct_v32,close_v32,risk_score_final,regime_final,market_percentile_final,timing_confidence_final,expected_return_final,downside_20pct_final,upside_80pct_final,close_final,candidate_sources,candidate_pool_score
1,TAVHL,ELE,54.19,ORTA,41.0,YATAY,83.51,82.38,-1.09,-3.31,1.14,275.5,ELE,40.33,ORTA,41.0,YATAY,83.51,82.38,-1.09,-3.31,1.14,275.5,PASİF İZLEME,36.83,41.72,ORTA,41.0,YATAY,83.51,82.38,-1.09,-3.31,1.14,275.5,41.0,YATAY,83.51,82.38,-1.09,-3.31,1.14,275.5,V22+V27+V32,49.78
2,DOCO,ELE,52.44,ORTA,41.0,YATAY,86.8,82.58,-1.02,-3.58,0.38,11352.5,ELE,38.8,ORTA,41.0,YATAY,86.8,82.58,-1.02,-3.58,0.38,11352.5,PASİF İZLEME,34.3,39.8,ORTA,41.0,YATAY,86.8,82.58,-1.02,-3.58,0.38,11352.5,41.0,YATAY,86.8,82.58,-1.02,-3.58,0.38,11352.5,V22+V27+V32,48.22
